	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1177	0	5
2	60	1169	13	38
3	90	1058	43	142
4	120	941	70	267
5	150	827	99	381
6	180	789	107	438
7	210	793	111	457
8	240	800	122	463
9	270	745	171	489
10	300	672	225	535
11	330	621	261	576
12	360	610	286	590
13	390	612	288	599
14	420	642	290	602
15	450	634	329	608
16	480	590	379	623
17	510	556	416	640
18	540	550	431	641
19	570	558	437	623
20	600	574	441	529
21	630	572	459	404
22	660	516	518	300
23	690	492	554	242
24	720	474	571	228
25	750	489	577	221
26	780	492	578	202
27	810	494	587	158
28	840	463	631	117
29	870	438	668	105
30	900	422	701	96
31	930	421	709	98
32	960	435	711	95
33	990	448	712	81
34	1020	431	740	68
35	1050	407	782	59
36	1080	382	813	59
37	1110	377	823	59
38	1140	386	823	60
39	1170	405	823	51
40	1200	396	838	40
41	1230	359	883	33
42	1260	350	900	37
43	1290	331	917	43
44	1320	339	928	43
45	1350	343	930	39
46	1380	349	935	35
47	1410	335	958	37
48	1440	322	982	32
