	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	2	1172	0
2	60	28	1167	10
3	90	126	1071	48
4	120	257	944	77
5	150	352	833	120
6	180	417	770	138
7	210	464	734	144
8	240	476	763	145
9	270	481	789	145
10	300	483	800	155
11	330	507	750	212
12	360	546	686	266
13	390	575	627	313
14	420	594	599	343
15	450	609	586	355
16	480	614	604	360
17	510	617	625	360
18	540	617	636	363
19	570	604	616	399
20	600	531	554	462
21	630	408	508	519
22	660	315	476	555
23	690	245	473	571
24	720	199	479	575
25	750	183	494	576
26	780	178	511	576
27	810	178	516	592
28	840	170	481	641
29	870	136	460	672
30	900	113	428	708
31	930	94	413	735
32	960	82	415	744
33	990	77	422	745
34	1020	75	432	745
35	1050	77	447	745
36	1080	82	425	778
37	1110	77	383	821
38	1140	75	357	851
39	1170	73	342	870
40	1200	67	344	881
41	1230	66	351	882
42	1260	65	365	883
43	1290	64	380	883
44	1320	62	377	898
45	1350	62	354	930
46	1380	57	344	951
47	1410	55	330	963
48	1440	54	316	981
