	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.021143591989655285	0.022363190461843815	0.021953445527570562	0.021143591989655285	0.022363190461843815	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.922698467512825	0.15000000000000316	0.2900000000000026	0.7000000000000111	0.5	1.0	0.0	0.0	0.5035149384885764	0.0	0.0	1.0	0.0	0.0
1	30	2456.015454386265	0.0	5.0	14.0	42.13596587802748	531.8352605921297	1924.1801937941336	0.749679824956685	0.0	0.021212877540326937	0.023392955283956622	0.022279244246268076	0.021212877540326937	0.023392955283956622	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	33.97792345515862	0.15000000000000321	0.29000000000000287	0.7000000000000116	0.5	1.0	0.0	0.5181660899653979	0.504325259515571	0.04671280276816609	0.0	0.18054981610289528	0.5627436039752367	0.2567065799218675
2	60	2370.8493300404225	0.0	5.0	14.0	68.0980987500018	513.672817079883	1857.1765129605394	0.7482264364634627	0.0	0.01866531677757644	0.02945588539704152	0.022321415403392487	0.01866531677757644	0.02945588539704152	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.941484230812726	0.15000000000000321	0.29000000000000287	0.7000000000000116	0.5	1.0	0.0	0.4826989619377163	0.49048442906574397	0.2664359861591695	0.0	0.16090592047900992	0.5806657343307753	0.25842834519021485
3	90	2289.4986290125125	0.0	5.0	14.0	92.26402220226835	496.5670709857943	1792.9315580267216	0.7458510422316803	0.0	-0.0008302753079321609	0.035313087283582595	0.02830910932274998	-0.0008302753079321609	0.035313087283582595	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	94.06456872060711	0.15000000000000296	0.29000000000000126	0.7000000000000085	0.5	1.0	0.0	0.5207939508506616	0.45274102079395084	0.35822306238185253	0.0	0.19825366147476017	0.554195435024671	0.24755090350056905
4	120	2240.575795520874	0.0	5.0	14.0	116.57110539373815	486.59621591822406	1753.9795796026483	0.7434446343628903	0.0	-0.019365094581679124	0.03990700542715809	0.03508651800481269	-0.019365094581679124	0.03990700542715809	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.85933308003455	0.15000000000000258	0.28999999999999854	0.7000000000000033	0.5	1.0	0.0	0.505933117583603	0.3775620280474649	0.4099244875943905	0.0	0.26572019322431756	0.517376366086216	0.2169034406894664
5	150	2217.6671256234463	0.0	5.0	14.0	141.77722854041147	482.3458563712455	1735.321269252201	0.7418163173228365	0.0	-0.02081558369334544	0.03882975317313099	0.030144166039871117	-0.02081558369334544	0.03882975317313099	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.58506503521093	0.15000000000000224	0.28999999999999776	0.6999999999999983	0.5	1.0	0.0	0.0	0.30759951749095293	0.41978287092882993	0.0	0.44933971552892477	0.38726275270970406	0.16339753176137084
6	180	2186.9285366873473	0.0	5.0	14.0	163.72397474668225	476.2732293407096	1710.6553073466423	0.7406557469325027	0.0	-0.028516924312180867	0.046428116957346596	0.021880704038940758	-0.028516924312180867	0.046428116957346596	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.78990700917382	0.15000000000000188	0.28999999999999837	0.6999999999999933	0.5	1.0	0.0	0.0	0.24533333333333332	0.2613333333333333	0.0	0.6497933708116924	0.24566743789068982	0.10453919129761786
7	210	2145.1445552968366	0.0	5.0	14.0	181.98132363639274	467.91767669086533	1677.2268786059735	0.7393721113957956	0.0	-0.016249167415458877	0.041364554057959926	0.03240133951277904	-0.016249167415458877	0.041364554057959926	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.75154036165253	0.15000000000000174	0.2899999999999986	0.699999999999992	0.5	1.0	0.0	0.0	0.209366391184573	0.09504132231404959	0.0	0.8103174804632163	0.1328135912868236	0.056868928249960045
8	240	2133.1525892247287	0.0	5.0	14.0	203.2355936525752	465.9048230622826	1667.2477661624482	0.7385598638239683	0.0	-0.01756373583163759	0.04448399060659325	0.02882447447063357	-0.01756373583163759	0.04448399060659325	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.46163591147743	0.15000000000000177	0.28999999999999854	0.699999999999992	0.5	1.0	0.0	0.0	0.19699042407660738	0.024623803009575923	0.0	0.9072070692710511	0.0648848625315367	0.027908068197412397
9	270	2077.914640005065	0.0	5.0	14.0	214.55710678951294	454.47300313222814	1623.441636872835	0.7373946511172765	0.0	-0.016676872282050528	0.04199416596185122	0.024442816283972896	-0.016676872282050528	0.04199416596185122	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	274.02977470960474	0.15000000000000194	0.2899999999999983	0.6999999999999941	0.5	1.0	0.0	0.4921052631578947	0.19473684210526315	0.002631578947368421	0.0	0.13274517728833402	0.6138009654910391	0.25345385722062663
10	300	2055.9015778683397	0.0	5.0	14.0	230.37161128441437	450.3786211354497	1605.5229567328913	0.7360484284911316	0.0	-0.007644368030251904	0.04210834820885431	0.022115064198413033	-0.007644368030251904	0.04210834820885431	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	303.5937087168651	0.15000000000000194	0.28999999999999826	0.6999999999999942	0.5	1.0	0.0	0.5190039318479686	0.19397116644823068	0.14809960681520315	0.0	0.20214761659503855	0.5448378268200653	0.25301455658489674
11	330	2017.7879591686296	0.0	5.0	14.0	242.18715466017747	442.7036297169468	1575.084329451682	0.7350417966014174	0.0	-0.00925326866935352	0.03750100940137833	0.022279128971454537	-0.00925326866935352	0.03750100940137833	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	333.97402503070504	0.15000000000000172	0.28999999999999865	0.6999999999999921	0.5	1.0	0.0	0.49653259361997226	0.18169209431345354	0.34535367545076284	0.0	0.14735363892608389	0.5967159149925209	0.25593044608139487
12	360	1971.6641795293908	0.0	5.0	14.0	249.55100940271672	433.3303106002214	1538.3338689291697	0.7331656080243912	0.0	-0.010623947221560449	0.04115488512618368	0.014474912158876743	-0.010623947221560449	0.04115488512618368	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	363.7866476624971	0.1500000000000013	0.2899999999999993	0.6999999999999924	0.5	1.0	0.0	0.5635528330781011	0.15313935681470137	0.39203675344563554	0.0	0.2332715906471132	0.5366689148331554	0.23005949451973218
13	390	1953.3305609599395	0.0	5.0	14.0	261.39341435287724	429.9721286790207	1523.3584322809145	0.7316869601851681	0.0	-0.003614311196363224	0.039185489057524114	0.007946235682158504	-0.003614311196363224	0.039185489057524114	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	393.87863734858723	0.15000000000000088	0.29000000000000004	0.6999999999999927	0.5	1.0	0.0	0.292436974789916	0.11596638655462185	0.46050420168067224	0.0	0.38757456927626327	0.43103420707890444	0.18139122364483215
14	420	1936.4371720612587	0.0	5.0	14.0	271.4898433801957	426.8568289865868	1509.5803430746698	0.7304858845545005	0.0	-0.013906879436837149	0.033537408250095456	0.008063398020541413	-0.013906879436837149	0.033537408250095456	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	423.801149631121	0.15000000000000066	0.2900000000000004	0.699999999999993	0.5	1.0	0.0	0.0	0.08098591549295775	0.38028169014084506	0.0	0.5855811356340993	0.29104538777951855	0.12337347658638256
15	450	1898.375650433118	0.0	5.0	14.0	271.98859655525524	419.25467155028133	1479.1209788828357	0.7291859496961297	0.0	-0.00868913292668043	0.038160628901044914	0.013734072937835587	-0.00868913292668043	0.038160628901044914	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	453.834285633964	0.15000000000000066	0.29000000000000037	0.699999999999993	0.5	1.0	0.0	0.0	0.0632688927943761	0.15289982425307558	0.0	0.7627582634534786	0.1662783448264469	0.07096339172007461
16	480	1860.8088299155368	0.0	5.0	14.0	273.9935868250059	411.6601652928128	1449.1486646227236	0.7280196613075332	0.0	-0.011044124186350769	0.04638842282206427	0.013386574213961971	-0.011044124186350769	0.04638842282206427	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	483.89437300710745	0.15000000000000083	0.2900000000000001	0.6999999999999927	0.5	1.0	0.0	0.0	0.059422750424448216	0.030560271646859084	0.0	0.8809202436628389	0.08331469082300316	0.03576506551415833
17	510	1855.9337090270858	0.0	5.0	14.0	281.726539933963	411.1825318957577	1444.7511771313277	0.7272157093311501	0.0	-0.011435727825032776	0.0470892455853841	0.010942145497797859	-0.011435727825032776	0.0470892455853841	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	513.8895778546928	0.15000000000000097	0.28999999999999987	0.6999999999999926	0.5	1.0	0.0	0.0	0.05271828665568369	0.008237232289950576	0.0	0.9441022325420301	0.03908269739510178	0.0168150700628686
18	540	1873.853746775717	0.0	5.0	14.0	297.4009818677961	415.6222500169997	1458.2314967587176	0.7271894264134633	0.0	-0.01434903772962074	0.03933492694769936	0.014020049253375398	-0.01434903772962074	0.03933492694769936	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	543.8274958586067	0.15000000000000108	0.2899999999999997	0.6999999999999925	0.5	1.0	0.0	0.6183574879227053	0.05475040257648953	0.05636070853462158	0.0	0.1295958263767424	0.6074376756708764	0.26296649795238203
19	570	1862.268610773817	0.0	5.0	14.0	303.3292661283279	413.3739368287547	1448.8946739450626	0.7273782970832685	0.0	-0.003041756955238505	0.03003041149014254	0.022220862225142954	-0.003041756955238505	0.03003041149014254	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	573.7791122925584	0.15000000000000097	0.28999999999999987	0.6999999999999926	0.5	1.0	0.0	0.4958813838550247	0.054365733113673806	0.28171334431630973	0.0	0.2215550658159239	0.5300455775578427	0.2483993566262335
20	600	1872.9937382171734	0.0	5.0	14.0	315.88119722894226	415.8049767636417	1457.1887614535294	0.7275618160896382	0.0	-0.012920741606571666	0.012911631217884764	0.019918376261175895	-0.012920741606571666	0.012911631217884764	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	603.7938027259214	0.1500000000000006	0.2900000000000005	0.699999999999993	0.5	1.0	0.0	0.5275310834813499	0.037300177619893425	0.43161634103019536	0.0	0.147536821425674	0.6045033278444442	0.24795985072988158
21	630	1869.6478035300397	0.0	5.0	14.0	322.56450866392095	415.4270223827753	1454.2207811472672	0.727183822769919	0.0	-0.01356012218937105	0.012633419153102824	0.017016418321292515	-0.01356012218937105	0.012633419153102824	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	633.7011036827322	0.15000000000000024	0.2900000000000011	0.6999999999999933	0.5	1.0	0.0	0.5324427480916031	0.019083969465648856	0.4580152671755725	0.0	0.3122742790263381	0.4844069248712313	0.2033187961024303
22	660	1882.685842516918	0.0	5.0	14.0	332.7327148500824	418.6106053030297	1464.0752372138904	0.7272913544287799	0.0	-0.014462142645063503	0.024122143024857528	0.006950696001925992	-0.014462142645063503	0.024122143024857528	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	663.5427856809808	0.15	0.29000000000000153	0.6999999999999935	0.5	1.0	0.0	0.0	0.013972055888223553	0.49500998003992014	0.0	0.4974664329583414	0.3532860665485746	0.14924750049308363
23	690	1900.4175250281485	0.0	5.0	14.0	346.9267892210781	422.6073792782275	1477.8101457499179	0.7278720563971356	0.0	-0.014671870498164536	0.01594520318340968	0.02084012799451745	-0.014671870498164536	0.01594520318340968	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	694.0119324426375	0.14999999999999983	0.29000000000000176	0.6999999999999936	0.5	1.0	0.0	0.0	0.010245901639344262	0.25614754098360654	0.0	0.6856148662199076	0.22058892821880652	0.09379620556128535
24	720	1871.8846134391065	0.0	5.0	14.0	342.0944105950022	416.4313545468219	1455.453258892285	0.7278556207176103	0.0	-0.010883505238126305	0.009545371436240476	0.020529100154326303	-0.010883505238126305	0.009545371436240476	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	724.0103505702862	0.15000000000000002	0.2900000000000015	0.6999999999999935	0.5	1.0	0.0	0.0	0.007936507936507936	0.08134920634920635	0.0	0.8323291847926096	0.1173977410323777	0.05027307417501283
25	750	1863.6017635145	0.0	5.0	14.0	346.4763033203662	414.67033795923095	1448.9314255552697	0.7274444403834691	0.0	-0.01345359049001658	0.013974287757785095	0.013827916271658473	-0.01345359049001658	0.013974287757785095	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	753.6548141498807	0.15000000000000024	0.2900000000000011	0.6999999999999933	0.5	1.0	0.0	0.0	0.007633587786259542	0.022900763358778626	0.0	0.9185675004541773	0.05693332267554239	0.024499176870281112
26	780	1855.586750854227	0.0	5.0	14.0	342.4451175365164	413.07110335542745	1442.5156474988005	0.7273645213525742	0.0	-0.00943786282224018	0.018652837536886662	0.007435700427611338	-0.00943786282224018	0.018652837536886662	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	784.072405263968	0.15000000000000044	0.29000000000000076	0.6999999999999931	0.5	1.0	0.0	0.6066176470588235	0.007352941176470588	0.007352941176470588	0.0	0.1947985740829108	0.5564448705365864	0.2487565553805031
27	810	1860.1908382121148	0.0	5.0	14.0	349.3143392416182	414.1624174202897	1446.028420791826	0.7278041798342206	0.0	-0.011727584036524196	0.01902623624550952	-0.0028698339663137404	-0.011727584036524196	0.01902623624550952	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	814.12367768687	0.15000000000000052	0.2900000000000006	0.6999999999999931	0.5	1.0	0.0	0.4927797833935018	0.009025270758122744	0.18953068592057762	0.0	0.11813349692953591	0.6176752212755041	0.26419128179495943
