	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	2	0	1168
2	60	32	12	1152
3	90	138	46	1039
4	120	258	89	910
5	150	363	107	815
6	180	429	131	752
7	210	466	137	728
8	240	474	138	748
9	270	480	140	769
10	300	489	182	739
11	330	512	235	692
12	360	559	273	627
13	390	590	294	597
14	420	611	318	567
15	450	625	322	565
16	480	627	322	576
17	510	628	323	592
18	540	629	368	560
19	570	619	415	523
20	600	541	448	492
21	630	424	470	484
22	660	320	481	483
23	690	248	487	492
24	720	204	487	511
25	750	193	493	531
26	780	192	532	509
27	810	196	584	464
28	840	183	608	451
29	870	143	635	437
30	900	108	642	445
31	930	83	644	460
32	960	76	644	467
33	990	69	664	463
34	1020	71	701	448
35	1050	71	749	405
36	1080	69	768	397
37	1110	65	785	384
38	1140	57	788	387
39	1170	47	791	400
40	1200	50	791	416
41	1230	51	805	409
42	1260	54	849	372
43	1290	55	883	353
44	1320	45	899	358
45	1350	39	923	346
46	1380	40	933	339
47	1410	40	935	347
48	1440	38	938	351
