	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1172	0	1
2	60	1160	15	31
3	90	1064	54	120
4	120	921	86	256
5	150	820	119	350
6	180	770	133	407
7	210	756	137	430
8	240	768	137	442
9	270	797	137	445
10	300	825	137	448
11	330	856	137	448
12	360	887	137	449
13	390	912	137	450
14	420	955	137	452
15	450	984	137	452
16	480	1023	137	452
17	510	1063	137	452
18	540	1104	137	455
19	570	1138	137	436
20	600	1169	137	367
21	630	1200	137	225
22	660	1226	137	128
23	690	1253	137	75
24	720	1297	137	47
25	750	1323	148	36
26	780	1172	314	62
27	810	961	503	119
28	840	780	653	177
29	870	685	728	221
30	900	657	754	246
31	930	671	756	253
32	960	687	757	255
33	990	712	757	256
34	1020	740	757	256
35	1050	760	757	253
36	1080	795	757	253
37	1110	820	757	255
38	1140	845	757	252
39	1170	882	757	252
40	1200	917	757	245
41	1230	947	757	246
42	1260	995	757	248
43	1290	1031	757	227
44	1320	1063	757	177
45	1350	1097	757	119
46	1380	1134	757	76
47	1410	1173	757	46
48	1440	1215	757	37
