	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1167	3	0
2	60	1161	30	8
3	90	1066	132	39
4	120	931	258	72
5	150	819	363	114
6	180	740	434	143
7	210	732	464	147
8	240	742	475	148
9	270	763	476	149
10	300	766	477	161
11	330	716	492	224
12	360	646	523	284
13	390	612	555	312
14	420	599	573	332
15	450	590	582	347
16	480	596	590	349
17	510	606	594	349
18	540	630	595	349
19	570	608	577	391
20	600	562	514	443
21	630	536	391	478
22	660	520	286	506
23	690	500	218	526
24	720	514	187	530
25	750	529	175	530
26	780	549	174	530
27	810	552	177	543
28	840	527	168	587
29	870	501	153	628
30	900	476	123	664
31	930	461	106	685
32	960	464	101	692
33	990	482	95	697
34	1020	498	91	697
35	1050	517	88	699
36	1080	508	88	726
37	1110	473	79	778
38	1140	452	73	810
39	1170	447	67	841
40	1200	446	58	855
41	1230	453	57	860
42	1260	468	55	860
43	1290	486	54	860
44	1320	491	55	865
45	1350	461	53	907
46	1380	430	52	950
47	1410	402	47	984
48	1440	404	45	999
