	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1177
2	60	9	29	1170
3	90	35	104	1097
4	120	75	230	955
5	150	95	324	872
6	180	124	388	809
7	210	128	423	788
8	240	128	431	804
9	270	128	433	825
10	300	128	436	855
11	330	128	438	880
12	360	128	439	916
13	390	128	439	950
14	420	128	440	979
15	450	128	444	1012
16	480	128	445	1055
17	510	128	447	1083
18	540	128	446	1118
19	570	143	426	1149
20	600	293	382	1008
21	630	454	304	818
22	660	556	251	694
23	690	611	211	634
24	720	639	194	603
25	750	644	188	613
26	780	644	188	626
27	810	644	187	634
28	840	644	185	650
29	870	644	185	672
30	900	644	184	692
31	930	644	183	714
32	960	644	180	739
33	990	644	179	768
34	1020	644	179	790
35	1050	644	179	803
36	1080	644	183	840
37	1110	679	169	834
38	1140	818	143	718
39	1170	930	116	606
40	1200	1003	99	529
41	1230	1049	86	484
42	1260	1053	87	497
43	1290	1057	85	504
44	1320	1058	83	525
45	1350	1058	84	541
46	1380	1058	87	554
47	1410	1058	89	573
48	1440	1058	91	588
