,test,total_time,alg_time
0,test29,0.2324469089508057,0.22150158882141116
1,test30,0.2410702705383301,0.22951602935791016
2,test12,0.23547029495239255,0.22415971755981445
3,test18,0.23296475410461426,0.2219560146331787
4,test24,0.2308056354522705,0.22007298469543454
5,test10,0.231351375579834,0.22037982940673828
6,test19,0.24479007720947266,0.2336809635162353
7,test15,0.2442197799682617,0.2326982021331787
8,test8,0.23250317573547366,0.2213618755340576
9,test7,0.23499035835266116,0.2237248420715332
10,test25,0.23338723182678225,0.22248053550720212
11,test3,0.26581525802612305,0.2539794445037842
12,test11,0.2290949821472168,0.21822285652160645
13,test2,0.2446908950805664,0.2334601879119873
14,test4,0.2440240383148193,0.23293161392211914
15,test28,0.2291262149810791,0.21828365325927732
16,test20,0.2432081699371338,0.23192381858825686
17,test9,0.2360846996307373,0.22463726997375488
18,test23,0.25205278396606445,0.24019551277160645
19,test5,0.2470097541809082,0.23484444618225095
20,test26,0.2417886257171631,0.2306606769561768
21,test17,0.2406587600708008,0.2296891212463379
22,test27,0.2324032783508301,0.22115135192871094
23,test13,0.2521028518676758,0.240706205368042
24,test6,0.2862997055053711,0.2727811336517334
25,test1,0.23114609718322754,0.2202119827270508
26,test16,0.2762269973754883,0.2627389430999756
27,test21,0.2453422546386719,0.2332644462585449
28,test22,0.24003005027771,0.2289905548095703
29,test14,0.2447307109832764,0.23340654373168945
