,test,total_time,alg_time
0,test29,0.7235138416290283,0.7122058868408203
1,test30,0.6531627178192139,0.6421451568603516
2,test12,0.6495556831359863,0.6392636299133301
3,test18,0.6681275367736816,0.657318115234375
4,test24,0.6938490867614746,0.6825580596923828
5,test10,0.6526415348052979,0.6419253349304199
6,test19,0.6636197566986084,0.6536178588867188
7,test15,0.6560325622558594,0.6456372737884521
8,test8,0.6759464740753174,0.665492057800293
9,test7,0.6468112468719482,0.6365506649017334
10,test25,0.6504499912261963,0.6389827728271484
11,test3,0.6741905212402344,0.6626889705657959
12,test11,0.6979482173919678,0.6862993240356445
13,test2,0.671903133392334,0.6605310440063477
14,test4,0.6507260799407959,0.6397600173950195
15,test28,0.6591274738311768,0.647036075592041
16,test20,0.6760964393615723,0.6653327941894531
17,test9,0.6441750526428223,0.6338541507720947
18,test23,0.6491038799285889,0.6378865242004395
19,test5,0.647662878036499,0.6373550891876221
20,test26,0.7248742580413818,0.7129061222076416
21,test17,0.6561651229858398,0.6463932991027832
22,test27,0.6542222499847412,0.6436080932617188
23,test13,0.6895103454589844,0.6782557964324951
24,test6,0.6660242080688477,0.6550674438476562
25,test1,0.6247355937957764,0.6149592399597168
26,test16,0.680239200592041,0.6696567535400391
27,test21,0.6699647903442383,0.6591296195983887
28,test22,0.6534969806671143,0.6423971652984619
29,test14,0.6528451442718506,0.6430041790008545
