,user_parameters.time_add_tnf,user_parameters.duration_add_tnf,user_parameters.concentration_tnf,score
0,769.0,4.0,0.30500000000000005,1070.0
0,781.0,7.0,0.26707420930000003,1120.3333333333333
0,765.0,12.0,0.39678302860000003,946.6666666666666
0,673.0,12.0,0.3887082009,690.6666666666666
0,712.0,9.0,0.37001437280000005,1082.6666666666667
0,547.0,12.0,0.34794026310000004,535.3333333333334
0,551.0,13.0,0.37414011960000004,508.3333333333333
0,551.0,13.0,0.3812579656,528.6666666666666
0,547.0,10.0,0.34700552600000006,528.6666666666666
0,551.0,17.0,0.40754757900000005,478.3333333333333
0,535.0,25.0,0.3719340916,506.0
0,551.0,19.0,0.3962586055,547.6666666666666
0,529.0,21.0,0.37564283800000003,519.0
0,582.0,16.0,0.34611633760000005,498.0
0,551.0,17.0,0.40289301310000003,516.3333333333334
0,532.0,13.0,0.37591838330000005,541.3333333333334
0,643.0,19.0,0.3832041802,534.0
0,482.0,17.0,0.36224171560000007,573.6666666666666
0,551.0,21.0,0.40754757900000005,474.3333333333333
0,581.0,29.0,0.36365060720000003,508.0
0,577.0,21.0,0.39695616080000007,492.0
0,538.0,25.0,0.37515204920000006,467.3333333333333
0,538.0,25.0,0.37515204920000006,520.3333333333334
0,390.0,19.0,0.37255817930000007,436.0
0,453.0,16.0,0.36584962410000005,482.6666666666667
0,390.0,15.0,0.37255817930000007,367.6666666666667
0,468.0,9.0,0.28285194230000005,634.3333333333334
0,390.0,14.0,0.37255817930000007,375.0
0,255.0,21.0,0.3371707670000001,345.3333333333333
0,254.0,19.0,0.3337410019000001,342.6666666666667
0,241.0,19.0,0.3578346602000001,407.6666666666667
0,223.0,19.0,0.3337410019000001,373.0
0,279.0,15.0,0.3476705720000001,392.0
0,219.0,16.0,0.2942817263000001,370.3333333333333
0,254.0,19.0,0.3337410019000001,363.0
0,398.0,16.0,0.2916423347000001,446.0
0,254.0,19.0,0.2870690640000001,346.3333333333333
0,287.0,13.0,0.2740206497000001,380.0
0,158.0,25.0,0.2550014679000001,498.6666666666667
0,259.0,19.0,0.3798183784000001,356.6666666666667
0,164.0,17.0,0.2954548191000001,438.0
0,254.0,19.0,0.3337410019000001,314.0
0,235.0,19.0,0.3337410019000001,370.3333333333333
0,219.0,19.0,0.3337410019000001,362.0
0,254.0,19.0,0.3337410019000001,350.0
0,228.0,20.0,0.3015731279000001,418.0
0,335.0,13.0,0.2583646381000001,383.3333333333333
0,254.0,19.0,0.34989925770000013,338.0
0,190.0,17.0,0.21368529850000006,343.0
0,273.0,23.0,0.3474208904000001,356.6666666666667
0,209.0,19.0,0.2855929168000001,380.6666666666667
0,197.0,13.0,0.3246233383000001,405.6666666666667
0,206.0,22.0,0.2934111251000001,373.3333333333333
0,250.0,18.0,0.3043007223000001,348.0
0,261.0,20.0,0.2867625049000001,328.3333333333333
0,272.0,16.0,0.2813895945000001,362.6666666666667
0,215.0,19.0,0.3337410019000001,406.3333333333333
0,270.0,23.0,0.3537751501000001,352.3333333333333
0,254.0,18.0,0.3337410019000001,380.6666666666667
0,256.0,19.0,0.3158127591000001,357.0
0,254.0,19.0,0.3337410019000001,329.6666666666667
0,299.0,15.0,0.36849816550000014,361.6666666666667
0,254.0,17.0,0.37258110160000013,342.3333333333333
0,246.0,22.0,0.3395755929000001,390.0
0,279.0,16.0,0.3649455937000001,424.6666666666667
0,298.0,19.0,0.3337410019000001,385.6666666666667
0,229.0,19.0,0.3337410019000001,427.6666666666667
0,226.0,23.0,0.3298991561000001,375.0
0,254.0,19.0,0.36055821180000014,351.0
0,282.0,13.0,0.2919093305000001,399.3333333333333
0,275.0,19.0,0.3110073811000001,409.0
0,263.0,22.0,0.34813270270000013,388.0
0,241.0,19.0,0.3110593679000001,366.3333333333333
0,288.0,20.0,0.2979705291000001,441.3333333333333
0,215.0,21.0,0.3225701307000001,350.0
0,258.0,19.0,0.3337410019000001,362.3333333333333
0,304.0,23.0,0.31057470750000016,322.0
0,254.0,19.0,0.3413070136000001,343.6666666666667
0,254.0,19.0,0.3660644932000001,338.6666666666667
0,273.0,20.0,0.3220029585000001,395.6666666666667
0,254.0,17.0,0.3337410019000001,329.0
0,273.0,19.0,0.3337410019000001,368.3333333333333
0,254.0,19.0,0.3629221903000001,365.3333333333333
0,254.0,19.0,0.3449758603000001,372.0
0,310.0,25.0,0.2375087481000001,370.0
0,261.0,23.0,0.3745531197000001,374.0
0,341.0,19.0,0.20729924230000013,388.0
0,266.0,13.0,0.3140454749000001,358.0
0,206.0,16.0,0.3443563839000001,375.0
0,234.0,17.0,0.32080016830000013,352.3333333333333
0,214.0,20.0,0.3071725899000001,345.3333333333333
0,296.0,25.0,0.2699115931000001,353.3333333333333
0,276.0,22.0,0.3216679824000001,438.3333333333333
0,332.0,19.0,0.3054304154000001,355.3333333333333
0,254.0,19.0,0.3327730240000001,389.0
0,262.0,19.0,0.3337410019000001,390.3333333333333
0,251.0,19.0,0.2868382061000001,337.6666666666667
0,160.0,23.0,0.2614913343000001,504.3333333333333
0,254.0,19.0,0.3337410019000001,328.6666666666667
0,254.0,19.0,0.3337410019000001,340.6666666666667
