	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1170
2	60	15	31	1152
3	90	63	146	1013
4	120	91	272	889
5	150	104	370	812
6	180	118	420	772
7	210	129	437	761
8	240	161	462	732
9	270	197	518	663
10	300	223	557	619
11	330	232	575	602
12	360	241	580	613
13	390	265	582	611
14	420	302	598	580
15	450	326	610	568
16	480	338	620	564
17	510	346	622	574
18	540	358	624	576
19	570	397	617	542
20	600	436	525	518
21	630	451	398	512
22	660	454	297	520
23	690	455	241	536
24	720	481	219	530
25	750	516	203	509
26	780	535	151	505
27	810	543	109	508
28	840	546	92	519
29	870	560	89	512
30	900	600	88	483
31	930	623	77	472
32	960	636	69	469
33	990	638	64	482
34	1020	645	61	504
35	1050	673	64	493
36	1080	696	63	481
37	1110	711	61	481
38	1140	718	56	499
39	1170	721	55	508
40	1200	758	56	478
41	1230	803	59	442
42	1260	821	63	430
43	1290	828	60	442
44	1320	831	57	453
45	1350	852	58	451
46	1380	901	58	412
47	1410	929	61	389
48	1440	939	62	386
