	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	5	1186
2	60	18	36	1178
3	90	49	137	1079
4	120	80	236	982
5	150	113	340	877
6	180	145	422	817
7	210	155	467	793
8	240	159	481	815
9	270	160	488	835
10	300	160	488	860
11	330	160	489	880
12	360	205	493	856
13	390	303	534	749
14	420	350	582	675
15	450	392	617	629
16	480	421	643	595
17	510	432	653	598
18	540	434	648	618
19	570	435	636	631
20	600	435	552	658
21	630	436	442	670
22	660	471	335	648
23	690	531	258	594
24	720	591	215	553
25	750	628	208	528
26	780	658	206	510
27	810	672	208	513
28	840	674	208	532
29	870	674	205	556
30	900	674	174	576
31	930	674	129	596
32	960	696	95	595
33	990	767	70	539
34	1020	812	64	519
35	1050	840	65	510
36	1080	854	63	505
37	1110	864	64	505
38	1140	864	63	518
39	1170	864	60	536
40	1200	864	55	556
41	1230	864	45	580
42	1260	889	37	569
43	1290	945	39	531
44	1320	989	45	496
45	1350	1022	49	476
46	1380	1045	56	465
47	1410	1052	63	466
48	1440	1052	64	482
