	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	1	1159	0
2	60	28	1171	14
3	90	173	1041	41
4	120	333	876	67
5	150	423	795	90
6	180	467	779	96
7	210	475	791	96
8	240	483	809	97
9	270	484	838	97
10	300	484	863	97
11	330	485	881	97
12	360	488	916	97
13	390	488	944	97
14	420	491	975	97
15	450	495	966	133
16	480	535	804	292
17	510	611	629	407
18	540	650	562	451
19	570	646	556	458
20	600	530	578	459
21	630	362	591	459
22	660	263	612	459
23	690	215	626	459
24	720	208	653	459
25	750	203	673	459
26	780	200	691	459
27	810	200	715	459
28	840	201	724	468
29	870	207	641	561
30	900	232	517	680
31	930	262	457	729
32	960	278	446	737
33	990	244	458	743
34	1020	178	471	744
35	1050	127	492	744
36	1080	109	500	744
37	1110	104	516	744
38	1140	101	533	744
39	1170	101	547	744
40	1200	99	569	744
41	1230	99	584	745
42	1260	104	547	796
43	1290	120	422	914
44	1320	130	362	974
45	1350	138	352	987
46	1380	133	357	989
47	1410	113	368	989
48	1440	78	374	989
