	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	1	1167
2	60	15	26	1168
3	90	62	145	1039
4	120	96	274	910
5	150	114	353	846
6	180	121	395	829
7	210	157	414	794
8	240	206	463	711
9	270	255	512	628
10	300	262	538	619
11	330	266	548	631
12	360	288	554	625
13	390	335	567	589
14	420	368	585	550
15	450	378	598	548
16	480	380	600	556
17	510	406	603	536
18	540	445	608	508
19	570	460	603	507
20	600	466	513	510
21	630	468	370	518
22	660	502	283	493
23	690	539	235	461
24	720	556	223	459
25	750	565	185	467
26	780	567	135	476
27	810	601	105	461
28	840	632	93	445
29	870	648	90	456
30	900	650	80	467
31	930	651	63	476
32	960	677	53	461
33	990	708	55	442
34	1020	731	58	430
35	1050	734	52	435
36	1080	739	46	442
37	1110	774	39	415
38	1140	800	42	391
39	1170	808	42	397
40	1200	808	40	408
41	1230	816	36	419
42	1260	847	36	394
43	1290	868	34	384
44	1320	879	36	382
45	1350	879	31	404
46	1380	885	31	409
47	1410	920	33	384
48	1440	946	33	375
