	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	0	0	1177
2	60	24	15	1181
3	90	124	45	1095
4	120	250	74	969
5	150	358	103	863
6	180	437	131	793
7	210	468	134	778
8	240	475	139	797
9	270	490	182	764
10	300	513	240	714
11	330	548	286	652
12	360	566	321	620
13	390	585	332	618
14	420	590	334	630
15	450	591	340	645
16	480	595	393	603
17	510	603	430	587
18	540	614	473	555
19	570	604	498	532
20	600	514	506	537
21	630	393	508	554
22	660	294	515	561
23	690	207	561	535
24	720	178	592	503
25	750	171	626	480
26	780	163	642	483
27	810	147	646	495
28	840	111	647	504
29	870	95	662	509
30	900	76	697	485
31	930	71	730	469
32	960	74	747	461
33	990	77	760	455
34	1020	67	762	465
35	1050	62	769	478
36	1080	57	801	455
37	1110	59	832	438
38	1140	62	868	408
39	1170	62	885	402
40	1200	61	893	409
41	1230	46	894	425
42	1260	43	903	436
43	1290	44	927	430
44	1320	43	952	416
45	1350	47	975	409
46	1380	46	993	406
47	1410	43	1004	413
48	1440	44	1004	424
