	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	0	1170	0
2	60	20	1170	15
3	90	118	1087	38
4	120	249	967	62
5	150	344	875	91
6	180	392	856	98
7	210	406	872	100
8	240	419	869	122
9	270	454	785	187
10	300	507	685	256
11	330	549	631	289
12	360	570	625	293
13	390	575	650	294
14	420	575	659	311
15	450	581	616	374
16	480	599	575	418
17	510	607	572	435
18	540	613	573	438
19	570	605	590	440
20	600	536	603	442
21	630	395	584	472
22	660	303	539	526
23	690	251	509	563
24	720	236	510	575
25	750	227	529	576
26	780	198	548	577
27	810	149	552	596
28	840	113	491	659
29	870	90	471	685
30	900	87	479	694
31	930	89	488	700
32	960	87	503	700
33	990	72	494	721
34	1020	68	455	764
35	1050	69	430	796
36	1080	67	425	812
37	1110	64	435	816
38	1140	64	445	817
39	1170	59	463	825
40	1200	58	420	882
41	1230	56	398	915
42	1260	58	387	932
43	1290	57	390	939
44	1320	53	415	939
45	1350	53	421	944
46	1380	49	390	980
47	1410	48	368	1011
48	1440	49	362	1027
