	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	0	0	1175
2	60	26	11	1169
3	90	128	40	1068
4	120	252	74	932
5	150	342	99	849
6	180	402	114	801
7	210	429	116	797
8	240	436	116	816
9	270	436	116	846
10	300	443	149	836
11	330	473	238	737
12	360	512	286	667
13	390	548	318	616
14	420	567	333	611
15	450	576	335	623
16	480	576	335	645
17	510	576	335	668
18	540	579	352	663
19	570	583	435	583
20	600	507	489	530
21	630	405	525	498
22	660	325	531	499
23	690	256	534	510
24	720	227	534	531
25	750	219	534	544
26	780	218	546	547
27	810	216	601	506
28	840	196	648	475
29	870	170	688	436
30	900	139	707	422
31	930	118	710	430
32	960	109	711	450
33	990	109	711	465
34	1020	109	715	478
35	1050	108	756	460
36	1080	98	814	404
37	1110	92	840	388
38	1140	73	851	388
39	1170	61	854	393
40	1200	55	854	404
41	1230	55	854	413
42	1260	52	855	430
43	1290	53	882	421
44	1320	56	927	387
45	1350	59	953	371
46	1380	49	973	361
47	1410	42	976	366
48	1440	40	979	374
