	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	0	0	1172
2	60	19	16	1175
3	90	126	43	1085
4	120	250	77	960
5	150	360	113	842
6	180	409	116	817
7	210	422	117	821
8	240	428	133	835
9	270	460	204	755
10	300	508	250	677
11	330	542	280	648
12	360	558	287	641
13	390	562	288	660
14	420	567	302	658
15	450	579	359	615
16	480	612	412	550
17	510	628	436	532
18	540	634	441	539
19	570	622	448	553
20	600	532	451	577
21	630	407	500	536
22	660	312	544	495
23	690	257	570	469
24	720	248	575	475
25	750	248	577	480
26	780	222	578	500
27	810	176	605	482
28	840	151	656	441
29	870	138	676	427
30	900	134	684	438
31	930	131	689	451
32	960	124	692	463
33	990	92	715	448
34	1020	83	756	421
35	1050	84	784	407
36	1080	84	797	401
37	1110	84	800	411
38	1140	81	800	422
39	1170	69	809	425
40	1200	65	838	406
41	1230	62	862	390
42	1260	59	876	385
43	1290	60	884	388
44	1320	60	884	401
45	1350	53	889	412
46	1380	47	928	393
47	1410	45	966	367
48	1440	45	987	351
