	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.005891842147156866	-0.0045872602410457364	-0.01726531668507318	0.005891842147156866	-0.0045872602410457364	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.001506999135836	0.15000000000000316	0.2900000000000026	0.7000000000000111	0.5	1.0	0.0	0.0	0.4991212653778559	0.0	0.0	1.0	0.0	0.0
1	30	2410.7499844116937	0.0	5.0	14.0	40.62730811809667	522.0807058517453	1888.6692785599514	0.7493723901951511	0.0	0.0008295828642785462	-0.010187161839887588	-0.020032555002557125	0.0008295828642785462	-0.010187161839887588	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	33.878123124733335	0.15000000000000324	0.2900000000000032	0.7000000000000123	0.5	1.0	0.0	0.8572642310960068	0.4995751911639762	0.03653355989804588	0.0	0.06424099498701163	0.6665771425670914	0.26918186244589704
2	60	2328.449907804735	0.0	5.0	14.0	66.35900072519262	504.6647587365899	1823.7851490681478	0.7476754532618144	0.0	0.0033701829353112466	-0.0013025942482875756	-0.022496771424843246	0.0033701829353112466	-0.0013025942482875756	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.90534070418352	0.15000000000000324	0.2900000000000032	0.7000000000000123	0.5	1.0	0.0	0.5284139100932994	0.4953350296861747	0.2951653944020356	0.0	0.2832700093768379	0.47808116986316124	0.23864882076000013
3	90	2273.864818529648	0.0	5.0	14.0	91.69222280465102	493.4400224819366	1780.4247960477073	0.7455781860151115	0.0	0.006030526826311466	0.006764304717612821	-0.02301007587637903	0.006030526826311466	0.006764304717612821	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.97635431463434	0.15000000000000302	0.29000000000000153	0.7000000000000091	0.5	1.0	0.0	0.47348837209302325	0.4530232558139535	0.3665116279069767	0.0	0.18878153973481016	0.583077921980128	0.22814053828506198
4	120	2236.1204275589207	0.0	5.0	14.0	116.11808843614212	485.9064730255426	1750.2139545333778	0.7436945126970991	0.0	0.006317633029762106	0.028139300683706805	-0.021679887471534758	0.006317633029762106	0.028139300683706805	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	124.02387849242442	0.15000000000000258	0.2899999999999984	0.7000000000000032	0.5	1.0	0.0	0.048701298701298704	0.3841991341991342	0.39935064935064934	0.0	0.4051966030217033	0.4184716974144791	0.1763316995638169
5	150	2198.3787246599854	0.0	5.0	14.0	138.9485310168484	478.3470751906719	1720.0316494693143	0.7423538455284847	0.0	0.016718185779689976	0.03271893236033	-0.01604674276686114	0.016718185779689976	0.03271893236033	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.74476838926165	0.15000000000000224	0.28999999999999776	0.6999999999999984	0.5	1.0	0.0	0.0	0.3128760529482551	0.32250300842358604	0.0	0.6087717335950563	0.2745609261386982	0.1166673402662445
6	180	2142.642428976943	0.0	5.0	14.0	157.8411823027319	467.0861322812504	1675.5562966956948	0.74015763465993	0.0	0.01784273210439414	0.03262316777381714	-0.017555526964987474	0.01784273210439414	0.03262316777381714	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	184.03025742365693	0.150000000000002	0.2899999999999982	0.6999999999999948	0.5	1.0	0.0	0.0	0.26002587322121606	0.11513583441138421	0.0	0.78291507397022	0.15204931268728236	0.06503561334249806
7	210	2120.5082337990234	0.0	5.0	14.0	179.36276339334512	463.03113421024386	1657.4770995887804	0.7386428574523002	0.0	0.018673068123730617	0.028504018975867098	-0.024078048498756773	0.018673068123730617	0.028504018975867098	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.83437141148931	0.15000000000000202	0.28999999999999815	0.6999999999999952	0.5	1.0	0.0	0.0	0.2506426735218509	0.02442159383033419	0.0	0.8924413721532284	0.07523722242215417	0.03232140542461755
8	240	2093.412370089636	0.0	5.0	14.0	197.89371987441612	457.7965507194076	1635.6158193702288	0.7373414814206602	0.0	0.016338466415076802	0.02493319829315153	-0.024124238445781324	0.016338466415076802	0.02493319829315153	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.83677710666785	0.1500000000000021	0.289999999999998	0.6999999999999963	0.5	1.0	0.0	0.0	0.24748743718592964	0.010050251256281407	0.0	0.950553875925791	0.03455611601992728	0.014890008054281154
9	270	2055.9794775732607	0.0	5.0	14.0	212.1158114043982	450.2746700965657	1605.7048074766954	0.7362417496538236	0.0	0.01355544667882266	0.024283319579766607	-0.02727305890995924	0.01355544667882266	0.024283319579766607	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	274.0721066719961	0.15000000000000221	0.2899999999999978	0.6999999999999982	0.5	1.0	0.0	0.0	0.24455205811138014	0.0012106537530266344	0.0	0.75879018434608	0.19554595879502698	0.04566385685889184
10	300	2033.5670059857296	0.0	5.0	14.0	228.57721408984588	446.0497363162638	1587.5172696694685	0.7349747503817571	0.0	0.011472705695034493	0.02378677605017227	-0.022473401334847945	0.011472705695034493	0.02378677605017227	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	303.9760518965369	0.1500000000000023	0.28999999999999765	0.6999999999999993	0.5	1.0	0.0	0.7198581560283688	0.24349881796690306	0.08628841607565012	0.0	0.2053092830637634	0.5462830350368617	0.24840768189937484
