	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1167	0
2	60	11	1167	18
3	90	63	1034	140
4	120	98	901	260
5	150	128	815	360
6	180	133	793	405
7	210	143	802	413
8	240	194	738	439
9	270	250	655	485
10	300	267	614	531
11	330	272	606	547
12	360	274	616	555
13	390	298	607	559
14	420	348	565	574
15	450	387	520	594
16	480	396	514	605
17	510	397	527	609
18	540	403	550	611
19	570	444	526	605
20	600	492	478	514
21	630	513	460	407
22	660	515	472	295
23	690	516	483	240
24	720	532	482	228
25	750	586	437	219
26	780	616	418	173
27	810	626	414	132
28	840	628	422	110
29	870	633	433	106
30	900	659	429	101
31	930	695	403	92
32	960	705	401	82
33	990	708	404	71
34	1020	710	414	65
35	1050	720	415	67
36	1080	749	394	67
37	1110	773	376	60
38	1140	779	384	55
39	1170	780	402	50
40	1200	788	407	52
41	1230	814	392	50
42	1260	843	367	52
43	1290	853	369	48
44	1320	856	382	46
45	1350	858	398	43
46	1380	875	394	41
47	1410	898	374	46
48	1440	917	368	46
