	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1169	1	0
2	60	1154	36	10
3	90	1068	129	47
4	120	925	263	83
5	150	807	377	105
6	180	742	439	125
7	210	730	473	128
8	240	737	485	128
9	270	748	488	128
10	300	770	491	128
11	330	795	492	128
12	360	810	493	128
13	390	840	495	128
14	420	873	496	128
15	450	896	497	128
16	480	912	500	128
17	510	934	500	128
18	540	963	502	129
19	570	941	483	171
20	600	770	442	333
21	630	623	359	443
22	660	551	275	505
23	690	486	224	561
24	720	477	193	567
25	750	491	181	567
26	780	503	180	567
27	810	512	179	567
28	840	518	178	567
29	870	527	178	567
30	900	545	177	567
31	930	569	177	567
32	960	584	176	567
33	990	607	176	567
34	1020	627	176	567
35	1050	643	175	567
36	1080	652	172	582
37	1110	566	151	673
38	1140	457	110	778
39	1170	408	88	837
40	1200	374	74	877
41	1230	367	64	887
42	1260	372	63	891
43	1290	386	62	891
44	1320	401	61	891
45	1350	418	60	891
46	1380	427	60	891
47	1410	434	60	891
48	1440	440	61	891
