	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	1	0	1179
2	60	26	10	1191
3	90	135	39	1087
4	120	276	71	943
5	150	359	95	865
6	180	441	117	780
7	210	483	120	760
8	240	492	120	774
9	270	496	120	793
10	300	499	120	811
11	330	500	120	831
12	360	501	120	852
13	390	503	128	881
14	420	520	191	820
15	450	566	292	686
16	480	611	355	592
17	510	643	386	539
18	540	653	402	529
19	570	646	402	536
20	600	552	402	554
21	630	414	402	578
22	660	318	402	599
23	690	239	402	613
24	720	192	402	634
25	750	177	412	637
26	780	179	483	580
27	810	193	568	509
28	840	207	627	449
29	870	220	657	418
30	900	223	671	415
31	930	216	673	425
32	960	170	674	445
33	990	133	674	461
34	1020	91	674	475
35	1050	81	674	493
36	1080	76	674	500
37	1110	70	695	496
38	1140	69	762	438
39	1170	80	810	400
40	1200	90	839	377
41	1230	92	863	370
42	1260	93	867	372
43	1290	89	867	386
44	1320	80	867	402
45	1350	61	867	412
46	1380	45	867	427
47	1410	41	867	443
48	1440	37	867	457
