	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	1	1178
2	60	17	24	1166
3	90	60	140	1038
4	120	94	280	891
5	150	117	378	786
6	180	125	429	750
7	210	128	451	749
8	240	128	452	772
9	270	128	452	799
10	300	128	453	827
11	330	128	460	838
12	360	128	461	863
13	390	128	462	884
14	420	128	463	915
15	450	130	467	944
16	480	206	479	891
17	510	347	538	724
18	540	430	608	593
19	570	472	623	546
20	600	480	541	533
21	630	481	408	551
22	660	481	295	560
23	690	481	237	572
24	720	481	214	589
25	750	481	214	626
26	780	481	215	640
27	810	481	215	658
28	840	481	209	676
29	870	488	209	686
30	900	548	212	641
31	930	673	234	510
32	960	758	249	433
33	990	795	257	394
34	1020	802	211	397
35	1050	804	143	409
36	1080	804	110	428
37	1110	804	90	435
38	1140	804	89	442
39	1170	804	87	459
40	1200	804	86	471
41	1230	804	81	478
42	1260	804	82	495
43	1290	804	81	506
44	1320	866	81	455
45	1350	952	91	367
46	1380	1011	99	304
47	1410	1026	104	296
48	1440	1034	87	295
