	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	2	1188	0
2	60	19	1189	20
3	90	144	1062	62
4	120	290	914	90
5	150	396	818	102
6	180	436	802	106
7	210	446	820	107
8	240	448	839	107
9	270	451	863	107
10	300	454	897	107
11	330	455	925	107
12	360	455	954	107
13	390	456	973	107
14	420	456	1012	107
15	450	459	1041	107
16	480	460	1077	127
17	510	502	907	292
18	540	570	715	436
19	570	619	617	496
20	600	540	602	514
21	630	405	613	515
22	660	280	628	516
23	690	236	650	516
24	720	219	665	516
25	750	217	685	516
26	780	215	714	516
27	810	211	733	516
28	840	210	763	516
29	870	211	783	516
30	900	212	796	524
31	930	217	744	605
32	960	247	581	756
33	990	273	503	817
34	1020	251	487	845
35	1050	185	496	847
36	1080	123	509	847
37	1110	96	525	848
38	1140	88	541	848
39	1170	85	565	848
40	1200	86	587	848
41	1230	87	608	848
42	1260	88	632	848
43	1290	88	647	848
44	1320	89	663	848
45	1350	90	656	881
46	1380	106	531	1016
47	1410	119	434	1111
48	1440	130	405	1136
