	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1180	0	0
2	60	1188	10	17
3	90	1060	54	138
4	120	906	79	289
5	150	880	85	347
6	180	894	85	359
7	210	920	85	363
8	240	941	91	365
9	270	884	161	385
10	300	795	213	441
11	330	769	225	482
12	360	790	225	496
13	390	808	225	500
14	420	827	226	504
15	450	819	254	512
16	480	760	320	541
17	510	727	343	571
18	540	738	352	578
19	570	759	352	578
20	600	786	352	477
21	630	791	363	314
22	660	728	437	257
23	690	693	468	270
24	720	696	476	278
25	750	726	476	277
26	780	749	476	266
27	810	770	481	217
28	840	733	539	180
29	870	670	605	172
30	900	670	624	184
31	930	685	625	180
32	960	708	625	181
33	990	732	625	157
34	1020	727	644	121
35	1050	654	717	138
36	1080	636	741	147
37	1110	645	744	151
38	1140	663	744	153
39	1170	680	745	142
40	1200	704	749	113
41	1230	664	814	101
42	1260	632	859	111
43	1290	631	871	115
44	1320	639	874	117
45	1350	665	874	112
46	1380	690	874	100
47	1410	669	911	91
48	1440	628	971	98
