	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	3	1188
2	60	21	25	1183
3	90	52	146	1060
4	120	79	279	935
5	150	102	385	834
6	180	110	439	805
7	210	123	454	797
8	240	175	477	735
9	270	213	514	690
10	300	232	553	661
11	330	247	577	634
12	360	253	585	630
13	390	278	596	620
14	420	311	614	600
15	450	340	624	581
16	480	348	628	590
17	510	352	632	609
18	540	374	632	596
19	570	408	623	567
20	600	432	547	536
21	630	452	422	537
22	660	462	307	543
23	690	469	243	552
24	720	504	225	532
25	750	541	214	503
26	780	562	176	493
27	810	573	144	490
28	840	574	119	505
29	870	598	109	492
30	900	635	100	469
31	930	661	88	456
32	960	677	77	449
33	990	679	75	457
34	1020	690	71	470
35	1050	721	71	459
36	1080	743	67	446
37	1110	760	59	444
38	1140	767	48	443
39	1170	771	46	451
40	1200	802	45	434
41	1230	838	50	407
42	1260	856	45	403
43	1290	867	42	403
44	1320	868	41	409
45	1350	882	40	406
46	1380	905	39	392
47	1410	919	45	390
48	1440	933	45	385
