	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1166	0	1
2	60	1169	14	24
3	90	1070	53	118
4	120	930	79	261
5	150	854	95	357
6	180	824	110	402
7	210	782	140	437
8	240	722	171	490
9	270	692	195	517
10	300	693	202	530
11	330	683	225	538
12	360	645	264	555
13	390	618	288	573
14	420	616	299	579
15	450	621	310	583
16	480	600	344	590
17	510	589	367	599
18	540	601	378	605
19	570	610	389	591
20	600	592	423	510
21	630	569	452	372
22	660	563	468	270
23	690	567	479	216
24	720	554	502	182
25	750	540	527	136
26	780	522	546	117
27	810	536	554	102
28	840	541	566	102
29	870	524	595	92
30	900	518	613	79
31	930	529	617	76
32	960	528	626	71
33	990	523	649	66
34	1020	514	681	57
35	1050	502	695	61
36	1080	510	708	59
37	1110	506	728	60
38	1140	498	750	61
39	1170	504	764	62
40	1200	517	766	62
41	1230	510	782	64
42	1260	493	806	63
43	1290	494	821	54
44	1320	505	828	59
45	1350	509	839	58
46	1380	508	858	50
47	1410	487	888	52
48	1440	486	902	47
