	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	2	2	1165
2	60	23	29	1154
3	90	61	150	1020
4	120	93	291	876
5	150	103	386	795
6	180	109	422	782
7	210	109	431	798
8	240	109	433	817
9	270	134	440	803
10	300	209	476	710
11	330	275	525	622
12	360	291	553	612
13	390	293	570	626
14	420	293	571	644
15	450	293	573	669
16	480	313	574	672
17	510	398	587	601
18	540	467	608	525
19	570	479	620	513
20	600	482	527	521
21	630	484	372	538
22	660	485	272	554
23	690	494	225	558
24	720	553	222	511
25	750	610	223	463
26	780	632	225	444
27	810	637	201	458
28	840	638	152	470
29	870	638	118	478
30	900	641	103	492
31	930	684	99	462
32	960	740	103	415
33	990	767	106	399
34	1020	770	98	405
35	1050	771	78	415
36	1080	771	52	428
37	1110	772	46	438
38	1140	804	47	413
39	1170	867	54	353
40	1200	896	57	331
41	1230	902	58	343
42	1260	903	52	357
43	1290	903	43	365
44	1320	904	40	381
45	1350	918	42	377
46	1380	965	52	331
47	1410	1002	55	300
48	1440	1008	57	307
