	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1174	2	0
2	60	1218	2	0
3	90	1250	4	0
4	120	1289	4	0
5	150	1329	4	0
6	180	1363	6	0
7	210	1399	8	0
8	240	1451	12	0
9	270	1502	16	0
10	300	1543	22	0
11	330	1582	22	0
12	360	1625	25	0
13	390	1669	28	0
14	420	1710	34	0
15	450	1771	36	0
16	480	1831	40	0
17	510	1876	48	0
18	540	1930	49	0
19	570	1980	52	0
20	600	2051	52	0
21	630	2102	54	0
22	660	2153	58	0
23	690	2206	59	0
24	720	2273	60	0
25	750	2332	59	0
26	780	2401	56	0
27	810	2465	53	0
28	840	2530	56	0
29	870	2598	62	0
30	900	2646	60	0
31	930	2714	62	0
32	960	2766	59	0
33	990	2838	58	0
34	1020	2907	53	0
35	1050	2969	59	0
36	1080	3041	63	0
37	1110	3087	64	0
38	1140	3146	66	0
39	1170	3220	67	0
40	1200	3275	70	0
41	1230	3360	70	0
42	1260	3448	69	0
43	1290	3541	75	0
44	1320	3602	90	0
45	1350	3674	95	0
46	1380	3757	91	0
47	1410	3854	96	0
48	1440	3941	97	0
