	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	2	1176
2	60	11	20	1186
3	90	59	146	1045
4	120	98	285	891
5	150	128	368	799
6	180	140	425	754
7	210	173	472	697
8	240	201	513	648
9	270	225	558	596
10	300	232	577	590
11	330	243	585	592
12	360	274	601	565
13	390	301	613	539
14	420	314	625	526
15	450	323	630	531
16	480	344	643	522
17	510	376	646	507
18	540	395	651	506
19	570	403	644	508
20	600	423	540	510
21	630	449	405	498
22	660	465	316	493
23	690	479	251	493
24	720	484	207	511
25	750	512	164	497
26	780	536	124	487
27	810	556	100	478
28	840	564	94	495
29	870	569	80	512
30	900	593	74	502
31	930	603	58	514
32	960	617	57	515
33	990	622	46	530
34	1020	640	46	532
35	1050	664	40	525
36	1080	672	42	534
37	1110	681	41	540
38	1140	693	38	556
39	1170	725	37	538
40	1200	756	40	516
41	1230	768	43	513
42	1260	773	43	538
43	1290	792	41	532
44	1320	822	42	523
45	1350	839	43	510
46	1380	844	43	518
47	1410	859	41	525
48	1440	882	44	517
