	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1167
2	60	14	39	1162
3	90	53	126	1059
4	120	88	247	946
5	150	114	356	828
6	180	136	418	784
7	210	141	443	783
8	240	143	453	801
9	270	173	461	791
10	300	223	511	711
11	330	257	555	654
12	360	285	574	630
13	390	301	593	612
14	420	304	603	626
15	450	308	604	644
16	480	342	608	624
17	510	399	621	574
18	540	431	627	558
19	570	457	621	540
20	600	463	540	548
21	630	463	434	563
22	660	463	308	583
23	690	506	246	550
24	720	551	221	512
25	750	582	213	495
26	780	602	215	488
27	810	608	177	492
28	840	609	128	500
29	870	612	110	520
30	900	636	91	516
31	930	682	88	481
32	960	711	92	467
33	990	728	91	464
34	1020	737	88	460
35	1050	737	76	477
36	1080	742	66	480
37	1110	768	62	470
38	1140	808	66	440
39	1170	835	68	424
40	1200	848	70	424
41	1230	852	61	430
42	1260	854	57	440
43	1290	859	52	446
44	1320	897	48	421
45	1350	933	51	399
46	1380	947	53	395
47	1410	962	56	397
48	1440	968	50	400
