	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	1	1	1173
2	60	30	21	1155
3	90	150	65	1022
4	120	290	100	889
5	150	384	125	791
6	180	437	131	752
7	210	456	133	768
8	240	460	133	784
9	270	461	133	810
10	300	468	168	796
11	330	498	258	702
12	360	536	307	632
13	390	579	341	576
14	420	592	359	563
15	450	600	361	569
16	480	602	361	585
17	510	603	362	600
18	540	602	376	602
19	570	595	436	558
20	600	506	481	524
21	630	368	509	500
22	660	271	521	501
23	690	217	527	501
24	720	191	528	513
25	750	188	528	533
26	780	186	533	540
27	810	185	579	508
28	840	167	644	458
29	870	137	677	452
30	900	99	701	432
31	930	83	702	442
32	960	75	702	458
33	990	73	702	475
34	1020	72	705	490
35	1050	75	735	480
36	1080	80	780	458
37	1110	70	813	442
38	1140	62	824	443
39	1170	57	826	458
40	1200	54	827	467
41	1230	55	828	497
42	1260	56	830	510
43	1290	56	862	498
44	1320	62	922	449
45	1350	63	962	423
46	1380	57	986	403
47	1410	49	988	415
48	1440	46	989	426
