	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	7	1172
2	60	11	39	1170
3	90	35	140	1076
4	120	70	295	920
5	150	94	388	824
6	180	102	456	772
7	210	104	473	765
8	240	104	478	790
9	270	105	483	811
10	300	133	493	799
11	330	207	521	730
12	360	255	566	655
13	390	290	604	594
14	420	299	624	583
15	450	304	631	591
16	480	304	635	608
17	510	304	636	624
18	540	326	639	614
19	570	388	624	570
20	600	434	550	528
21	630	465	429	497
22	660	475	320	511
23	690	483	248	519
24	720	484	223	545
25	750	484	220	567
26	780	495	215	572
27	810	554	215	524
28	840	612	202	482
29	870	644	165	462
30	900	658	127	453
31	930	663	104	461
32	960	665	97	480
33	990	665	94	488
34	1020	667	93	508
35	1050	703	91	480
36	1080	758	89	438
37	1110	794	82	411
38	1140	812	66	403
39	1170	821	65	400
40	1200	821	63	417
41	1230	821	63	427
42	1260	822	63	441
43	1290	856	63	421
44	1320	897	67	386
45	1350	926	63	368
46	1380	939	58	365
47	1410	941	54	382
48	1440	941	52	398
