	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1162	2	0
2	60	1161	28	14
3	90	1026	152	51
4	120	881	289	88
5	150	794	372	122
6	180	734	432	135
7	210	732	456	136
8	240	756	459	137
9	270	775	460	137
10	300	795	460	137
11	330	829	461	137
12	360	845	462	137
13	390	859	465	151
14	420	764	479	248
15	450	659	525	339
16	480	585	566	387
17	510	546	585	423
18	540	552	590	429
19	570	559	579	430
20	600	578	473	430
21	630	594	340	430
22	660	615	246	430
23	690	638	177	430
24	720	666	149	430
25	750	680	146	449
26	780	603	155	538
27	810	524	179	614
28	840	478	197	656
29	870	473	201	669
30	900	478	205	669
31	930	482	195	670
32	960	505	154	671
33	990	520	111	671
34	1020	545	87	671
35	1050	555	81	671
36	1080	570	76	672
37	1110	541	76	728
38	1140	463	83	811
39	1170	421	86	868
40	1200	401	87	897
41	1230	393	91	910
42	1260	408	93	912
43	1290	423	86	912
44	1320	433	62	912
45	1350	449	47	912
46	1380	458	40	912
47	1410	482	34	912
48	1440	497	33	917
