	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1169	1	0
2	60	1176	15	13
3	90	1052	113	61
4	120	914	259	92
5	150	868	337	98
6	180	876	354	99
7	210	895	360	101
8	240	930	361	101
9	270	959	363	101
10	300	987	367	101
11	330	1021	367	101
12	360	1050	367	101
13	390	1080	368	101
14	420	1103	373	103
15	450	1037	387	187
16	480	842	451	340
17	510	743	517	395
18	540	731	542	404
19	570	747	541	405
20	600	771	457	405
21	630	790	304	405
22	660	815	218	405
23	690	844	201	405
24	720	871	194	405
25	750	889	192	405
26	780	915	192	405
27	810	935	189	412
28	840	855	200	505
29	870	662	244	677
30	900	575	292	726
31	930	574	301	734
32	960	577	291	735
33	990	587	240	735
34	1020	605	166	735
35	1050	626	137	735
36	1080	650	130	735
37	1110	670	128	735
38	1140	690	128	735
39	1170	716	129	735
40	1200	737	127	746
41	1230	665	139	831
42	1260	541	167	942
43	1290	522	174	976
44	1320	528	177	981
45	1350	555	170	981
46	1380	567	139	981
47	1410	586	83	981
48	1440	596	69	981
