	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1166	1
2	60	15	1161	26
3	90	69	1021	144
4	120	106	845	314
5	150	120	781	390
6	180	120	788	409
7	210	120	801	414
8	240	120	824	415
9	270	120	845	415
10	300	120	875	415
11	330	120	906	419
12	360	120	933	419
13	390	120	964	419
14	420	120	993	421
15	450	120	1018	421
16	480	176	990	430
17	510	341	809	475
18	540	420	700	529
19	570	439	680	533
20	600	441	699	443
21	630	441	723	261
22	660	441	754	171
23	690	441	767	150
24	720	441	795	142
25	750	441	813	144
26	780	441	849	145
27	810	441	889	147
28	840	441	917	146
29	870	442	947	152
30	900	530	882	158
31	930	673	730	188
32	960	745	646	220
33	990	760	649	225
34	1020	761	673	189
35	1050	761	703	131
36	1080	761	727	107
37	1110	761	752	101
38	1140	761	779	103
39	1170	761	809	103
40	1200	761	829	104
41	1230	761	850	104
42	1260	761	876	101
43	1290	764	897	104
44	1320	853	815	117
45	1350	1029	639	136
46	1380	1094	564	155
47	1410	1102	564	157
48	1440	1102	582	134
