	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1183
2	60	12	13	1204
3	90	62	116	1081
4	120	83	240	961
5	150	87	311	922
6	180	87	322	938
7	210	87	325	964
8	240	93	325	995
9	270	147	347	951
10	300	195	394	896
11	330	207	419	880
12	360	209	431	900
13	390	209	432	920
14	420	210	432	946
15	450	248	447	927
16	480	321	477	846
17	510	357	505	825
18	540	361	519	827
19	570	361	518	848
20	600	361	439	882
21	630	372	312	898
22	660	452	245	827
23	690	503	255	782
24	720	509	272	789
25	750	511	279	804
26	780	511	269	824
27	810	515	219	838
28	840	575	200	795
29	870	650	211	714
30	900	669	223	702
31	930	670	224	720
32	960	670	215	738
33	990	670	192	765
34	1020	692	161	760
35	1050	788	163	672
36	1080	828	169	642
37	1110	836	176	641
38	1140	837	177	669
39	1170	837	167	689
40	1200	841	136	708
41	1230	907	117	657
42	1260	966	130	606
43	1290	982	139	604
44	1320	983	143	622
45	1350	983	137	638
46	1380	983	113	658
47	1410	1014	108	641
48	1440	1091	112	572
