	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	0	1178
2	60	0	2	1218
3	90	0	2	1253
4	120	0	3	1284
5	150	0	6	1323
6	180	0	7	1364
7	210	0	8	1406
8	240	0	9	1457
9	270	0	13	1507
10	300	0	16	1534
11	330	0	21	1575
12	360	0	21	1622
13	390	0	25	1674
14	420	0	30	1724
15	450	0	35	1772
16	480	0	39	1809
17	510	0	43	1867
18	540	0	45	1895
19	570	0	45	1942
20	600	0	49	1981
21	630	0	48	2021
22	660	0	49	2076
23	690	0	49	2134
24	720	0	52	2195
25	750	0	56	2250
26	780	0	57	2295
27	810	0	55	2353
28	840	0	58	2418
29	870	0	60	2496
30	900	0	63	2551
31	930	0	60	2598
32	960	0	58	2655
33	990	0	59	2707
34	1020	0	60	2781
35	1050	0	64	2833
36	1080	0	64	2905
37	1110	0	61	2984
38	1140	0	66	3050
39	1170	0	67	3119
40	1200	0	73	3187
41	1230	0	77	3273
42	1260	0	81	3350
43	1290	0	80	3429
44	1320	0	82	3525
45	1350	0	79	3625
46	1380	0	80	3713
47	1410	0	87	3788
48	1440	0	85	3883
