	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1177	0	1
2	60	1171	10	30
3	90	1047	62	147
4	120	889	97	310
5	150	805	111	410
6	180	766	121	457
7	210	752	142	476
8	240	699	196	502
9	270	618	241	553
10	300	584	258	586
11	330	582	266	598
12	360	599	271	601
13	390	557	323	611
14	420	529	356	624
15	450	499	384	636
16	480	507	390	640
17	510	518	393	642
18	540	505	416	646
19	570	479	448	639
20	600	466	469	543
21	630	470	476	382
22	660	493	478	262
23	690	493	496	213
24	720	457	541	196
25	750	448	557	180
26	780	454	565	131
27	810	459	567	95
28	840	456	586	84
29	870	427	625	83
30	900	413	647	82
31	930	422	654	65
32	960	431	655	57
33	990	437	668	52
34	1020	416	701	53
35	1050	404	724	55
36	1080	404	734	52
37	1110	416	734	46
38	1140	424	744	43
39	1170	407	772	42
40	1200	392	793	48
41	1230	397	805	47
42	1260	407	810	43
43	1290	418	812	43
44	1320	410	839	44
45	1350	396	863	44
46	1380	386	874	46
47	1410	397	878	42
48	1440	405	882	41
