	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1179
2	60	7	30	1174
3	90	34	136	1067
4	120	76	247	942
5	150	111	340	850
6	180	140	417	773
7	210	143	464	743
8	240	144	473	760
9	270	148	474	779
10	300	186	486	758
11	330	247	511	703
12	360	284	548	651
13	390	317	578	619
14	420	343	602	586
15	450	345	607	603
16	480	345	612	611
17	510	350	615	626
18	540	393	618	597
19	570	448	610	553
20	600	477	531	536
21	630	520	415	512
22	660	534	330	517
23	690	538	250	531
24	720	539	199	544
25	750	544	189	554
26	780	577	195	538
27	810	615	194	512
28	840	656	176	480
29	870	684	147	463
30	900	691	118	472
31	930	693	95	484
32	960	693	86	514
33	990	703	82	513
34	1020	739	82	489
35	1050	777	86	464
36	1080	808	82	449
37	1110	825	74	442
38	1140	832	67	441
39	1170	833	61	458
40	1200	834	57	470
41	1230	840	57	477
42	1260	886	58	438
43	1290	929	54	409
44	1320	951	52	395
45	1350	969	47	384
46	1380	976	43	392
47	1410	976	41	406
48	1440	976	39	413
