	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	3	1173
2	60	14	17	1193
3	90	50	141	1055
4	120	72	292	911
5	150	94	394	810
6	180	105	462	755
7	210	115	490	748
8	240	159	517	709
9	270	198	554	659
10	300	221	583	628
11	330	240	609	604
12	360	248	619	600
13	390	259	622	603
14	420	302	636	558
15	450	328	647	530
16	480	349	654	515
17	510	353	660	531
18	540	360	662	541
19	570	383	656	537
20	600	401	554	530
21	630	421	403	531
22	660	443	296	522
23	690	449	235	532
24	720	475	201	522
25	750	513	184	500
26	780	538	148	496
27	810	552	122	493
28	840	559	97	512
29	870	566	83	526
30	900	593	81	509
31	930	619	72	496
32	960	642	64	482
33	990	651	57	486
34	1020	658	53	498
35	1050	679	48	489
36	1080	705	51	474
37	1110	726	50	459
38	1140	741	52	465
39	1170	744	51	479
40	1200	748	46	497
41	1230	776	47	479
42	1260	802	47	467
43	1290	820	46	466
44	1320	834	45	465
45	1350	843	44	472
46	1380	857	43	475
47	1410	891	42	455
48	1440	905	43	459
