	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1172	1	1
2	60	1178	10	21
3	90	1061	43	139
4	120	910	83	282
5	150	834	91	386
6	180	813	93	424
7	210	787	125	446
8	240	728	161	494
9	270	688	189	540
10	300	673	201	572
11	330	693	204	577
12	360	681	236	582
13	390	637	285	599
14	420	608	309	620
15	450	620	316	625
16	480	630	320	627
17	510	627	344	630
18	540	576	403	637
19	570	552	431	637
20	600	557	439	540
21	630	579	440	405
22	660	575	473	290
23	690	552	511	253
24	720	535	542	237
25	750	541	550	195
26	780	550	555	148
27	810	522	593	112
28	840	497	630	107
29	870	491	650	105
30	900	501	653	93
31	930	515	656	68
32	960	501	686	63
33	990	493	710	63
34	1020	495	722	62
35	1050	501	724	62
36	1080	512	727	54
37	1110	496	759	51
38	1140	468	794	53
39	1170	470	812	53
40	1200	488	813	41
41	1230	500	823	42
42	1260	474	861	43
43	1290	459	885	46
44	1320	465	896	43
45	1350	479	898	44
46	1380	500	908	42
47	1410	468	955	43
48	1440	451	985	46
