	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1170	1
2	60	10	1184	18
3	90	58	1060	128
4	120	92	851	327
5	150	105	756	434
6	180	105	759	456
7	210	107	786	460
8	240	107	821	462
9	270	107	852	463
10	300	107	875	463
11	330	107	894	467
12	360	107	940	469
13	390	107	973	470
14	420	107	1014	471
15	450	136	1022	478
16	480	296	875	508
17	510	407	741	567
18	540	433	698	598
19	570	436	713	598
20	600	436	725	519
21	630	437	738	317
22	660	437	758	196
23	690	437	782	163
24	720	437	798	159
25	750	437	824	160
26	780	437	857	160
27	810	437	886	160
28	840	451	899	159
29	870	576	780	171
30	900	737	606	199
31	930	767	567	233
32	960	771	570	235
33	990	771	591	213
34	1020	771	609	162
35	1050	771	623	121
36	1080	771	645	110
37	1110	771	662	107
38	1140	771	684	105
39	1170	771	707	104
40	1200	771	731	103
41	1230	775	751	102
42	1260	867	674	104
43	1290	1012	520	129
44	1320	1063	480	139
45	1350	1069	477	145
46	1380	1071	496	138
47	1410	1071	515	115
48	1440	1071	532	71
