	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1162	6	0
2	60	1169	17	7
3	90	1093	105	36
4	120	961	255	57
5	150	928	312	63
6	180	937	324	64
7	210	954	328	71
8	240	901	353	131
9	270	816	426	168
10	300	795	454	178
11	330	801	463	180
12	360	820	464	182
13	390	800	466	213
14	420	728	489	274
15	450	716	509	284
16	480	736	521	286
17	510	759	522	286
18	540	758	521	307
19	570	690	530	378
20	600	661	479	402
21	630	677	338	406
22	660	692	263	407
23	690	705	245	415
24	720	663	248	467
25	750	623	245	510
26	780	627	186	516
27	810	646	148	516
28	840	663	140	518
29	870	643	141	552
30	900	593	160	602
31	930	591	153	620
32	960	607	134	621
33	990	624	122	621
34	1020	647	123	632
35	1050	610	130	682
36	1080	576	131	722
37	1110	581	113	730
38	1140	597	103	731
39	1170	605	103	736
40	1200	574	107	787
41	1230	553	116	821
42	1260	546	105	834
43	1290	564	100	836
44	1320	578	99	836
45	1350	566	99	864
46	1380	529	110	912
47	1410	514	106	928
48	1440	528	93	930
