	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1174	2	3
2	60	1152	20	36
3	90	1023	60	157
4	120	882	93	289
5	150	782	110	399
6	180	764	116	437
7	210	769	124	450
8	240	720	176	485
9	270	641	209	555
10	300	612	230	596
11	330	612	235	609
12	360	630	241	617
13	390	600	282	625
14	420	566	319	640
15	450	560	333	656
16	480	575	334	661
17	510	588	343	665
18	540	570	373	666
19	570	543	408	651
20	600	525	434	556
21	630	524	444	417
22	660	542	445	307
23	690	535	473	257
24	720	519	512	241
25	750	522	533	220
26	780	534	540	149
27	810	551	540	105
28	840	557	563	89
29	870	512	612	87
30	900	504	633	84
31	930	502	646	72
32	960	505	649	61
33	990	508	662	58
34	1020	492	697	56
35	1050	466	734	56
36	1080	469	741	55
37	1110	479	746	47
38	1140	496	751	42
39	1170	477	793	41
40	1200	465	816	46
41	1230	459	829	48
42	1260	467	834	49
43	1290	479	841	47
44	1320	463	870	46
45	1350	436	906	48
46	1380	441	914	47
47	1410	447	920	45
48	1440	460	924	41
