	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	4	1176	1
2	60	34	1167	12
3	90	136	1065	47
4	120	262	922	87
5	150	356	822	121
6	180	426	774	133
7	210	446	775	138
8	240	452	794	138
9	270	455	818	139
10	300	455	853	139
11	330	456	885	139
12	360	458	909	139
13	390	461	922	139
14	420	465	905	186
15	450	500	796	289
16	480	562	669	372
17	510	590	609	425
18	540	605	588	444
19	570	604	588	449
20	600	515	602	449
21	630	387	626	449
22	660	284	648	449
23	690	208	669	449
24	720	187	682	449
25	750	177	719	449
26	780	180	705	481
27	810	193	597	597
28	840	217	515	676
29	870	233	471	716
30	900	241	451	737
31	930	240	462	740
32	960	215	471	741
33	990	159	481	742
34	1020	120	488	742
35	1050	105	510	742
36	1080	93	525	742
37	1110	89	545	742
38	1140	88	548	759
39	1170	94	495	823
40	1200	107	415	901
41	1230	110	385	936
42	1260	113	366	959
43	1290	111	375	964
44	1320	101	386	964
45	1350	79	408	964
46	1380	59	415	964
47	1410	47	431	964
48	1440	45	445	964
