	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	1	1178
2	60	22	25	1168
3	90	60	140	1044
4	120	94	280	903
5	150	123	381	807
6	180	131	436	765
7	210	132	454	771
8	240	132	457	797
9	270	132	458	823
10	300	153	465	822
11	330	231	492	747
12	360	289	528	671
13	390	323	564	626
14	420	339	587	610
15	450	339	597	617
16	480	339	598	632
17	510	339	598	651
18	540	363	598	635
19	570	423	597	581
20	600	480	518	525
21	630	503	383	506
22	660	511	276	506
23	690	512	220	521
24	720	512	196	540
25	750	512	192	567
26	780	513	191	583
27	810	565	193	544
28	840	624	177	492
29	870	658	155	472
30	900	674	124	463
31	930	677	105	480
32	960	678	92	493
33	990	680	90	508
34	1020	683	92	521
35	1050	726	96	486
36	1080	780	101	440
37	1110	815	89	412
38	1140	835	82	412
39	1170	837	79	421
40	1200	837	74	432
41	1230	837	74	442
42	1260	840	73	453
43	1290	871	73	434
44	1320	921	71	396
45	1350	959	68	366
46	1380	975	64	355
47	1410	978	61	361
48	1440	979	54	372
