	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	4	1186
2	60	16	19	1179
3	90	62	116	1058
4	120	91	289	874
5	150	101	375	803
6	180	104	395	802
7	210	105	403	816
8	240	105	405	841
9	270	105	406	859
10	300	105	410	879
11	330	105	417	900
12	360	105	418	930
13	390	105	422	958
14	420	108	424	990
15	450	161	437	951
16	480	313	506	757
17	510	380	557	659
18	540	398	577	641
19	570	399	570	663
20	600	399	502	681
21	630	399	325	708
22	660	399	219	733
23	690	399	192	757
24	720	399	184	784
25	750	399	184	814
26	780	399	182	849
27	810	402	179	864
28	840	480	187	801
29	870	604	218	664
30	900	645	249	612
31	930	648	255	618
32	960	648	248	643
33	990	648	191	672
34	1020	648	134	702
35	1050	648	106	720
36	1080	648	103	748
37	1110	648	101	775
38	1140	648	100	798
39	1170	648	106	821
40	1200	659	106	827
41	1230	761	122	729
42	1260	873	147	607
43	1290	912	170	564
44	1320	915	175	581
45	1350	915	168	597
46	1380	915	137	618
47	1410	915	99	639
48	1440	915	88	665
