	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1164	0	0
2	60	1169	9	22
3	90	1095	31	102
4	120	983	62	213
5	150	881	95	317
6	180	825	113	389
7	210	834	113	420
8	240	848	114	426
9	270	821	154	437
10	300	757	209	472
11	330	688	259	519
12	360	642	296	550
13	390	626	311	568
14	420	640	316	571
15	450	652	317	574
16	480	642	347	579
17	510	600	398	591
18	540	573	436	611
19	570	546	468	618
20	600	551	475	554
21	630	567	475	451
22	660	579	480	344
23	690	566	514	272
24	720	536	560	231
25	750	512	598	229
26	780	498	622	227
27	810	502	631	193
28	840	515	634	147
29	870	527	634	124
30	900	516	663	104
31	930	482	709	106
32	960	463	743	110
33	990	446	765	113
34	1020	453	772	104
35	1050	460	772	86
36	1080	472	776	66
37	1110	452	808	62
38	1140	411	860	61
39	1170	393	885	64
40	1200	402	896	67
41	1230	406	904	64
42	1260	409	905	60
43	1290	425	908	56
44	1320	407	937	55
45	1350	390	965	54
46	1380	383	987	54
47	1410	381	1003	55
48	1440	388	1013	51
