	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	3	1181	0
2	60	19	1183	14
3	90	162	1016	65
4	120	335	843	89
5	150	431	759	95
6	180	453	758	96
7	210	456	794	97
8	240	459	823	97
9	270	465	833	97
10	300	470	867	97
11	330	472	899	97
12	360	473	925	97
13	390	473	958	97
14	420	476	979	97
15	450	478	977	119
16	480	518	846	251
17	510	577	696	361
18	540	623	633	391
19	570	622	649	396
20	600	509	668	398
21	630	324	690	398
22	660	214	708	398
23	690	187	730	398
24	720	187	749	398
25	750	186	770	398
26	780	179	797	398
27	810	175	823	398
28	840	176	851	403
29	870	185	780	491
30	900	207	609	659
31	930	226	535	724
32	960	231	538	731
33	990	206	555	733
34	1020	149	573	733
35	1050	92	587	733
36	1080	83	603	733
37	1110	84	614	733
38	1140	85	643	733
39	1170	82	664	733
40	1200	82	678	733
41	1230	81	699	734
42	1260	81	681	767
43	1290	101	540	910
44	1320	118	467	988
45	1350	124	452	1007
46	1380	114	468	1010
47	1410	99	478	1011
48	1440	73	494	1011
