	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1184	0
2	60	9	1198	18
3	90	59	1082	117
4	120	89	888	306
5	150	96	813	410
6	180	96	817	426
7	210	96	836	433
8	240	116	838	438
9	270	197	742	474
10	300	244	672	520
11	330	256	650	546
12	360	257	653	555
13	390	258	675	556
14	420	271	686	557
15	450	338	631	568
16	480	392	570	596
17	510	397	565	610
18	540	397	574	615
19	570	397	585	609
20	600	404	599	531
21	630	468	548	349
22	660	529	487	252
23	690	547	466	233
24	720	551	470	229
25	750	551	485	226
26	780	554	494	202
27	810	601	457	160
28	840	647	421	134
29	870	661	422	128
30	900	666	434	128
31	930	666	447	129
32	960	670	458	123
33	990	705	433	102
34	1020	760	387	87
35	1050	775	383	85
36	1080	779	387	84
37	1110	780	395	85
38	1140	781	408	82
39	1170	805	395	63
40	1200	851	359	51
41	1230	862	361	48
42	1260	863	369	52
43	1290	863	382	50
44	1320	863	396	45
45	1350	886	381	38
46	1380	933	341	39
47	1410	950	334	40
48	1440	952	339	40
