	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	2	0	1187
2	60	33	9	1176
3	90	128	52	1072
4	120	278	74	932
5	150	374	97	835
6	180	437	110	781
7	210	463	132	755
8	240	494	164	717
9	270	545	198	654
10	300	582	229	610
11	330	596	236	607
12	360	605	255	598
13	390	614	303	561
14	420	625	327	534
15	450	641	345	528
16	480	647	356	529
17	510	650	372	517
18	540	653	400	498
19	570	638	417	490
20	600	552	427	491
21	630	419	431	494
22	660	308	445	500
23	690	248	472	477
24	720	216	496	468
25	750	184	509	471
26	780	140	511	486
27	810	101	532	479
28	840	86	557	473
29	870	82	579	466
30	900	75	588	468
31	930	66	590	476
32	960	52	608	471
33	990	48	637	451
34	1020	50	650	453
35	1050	45	662	462
36	1080	39	667	472
37	1110	38	674	477
38	1140	44	692	479
39	1170	46	710	475
40	1200	41	722	480
41	1230	39	723	495
42	1260	40	743	485
43	1290	42	777	470
44	1320	42	797	468
45	1350	41	806	470
46	1380	37	813	480
47	1410	37	837	468
48	1440	39	858	461
