	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1185	1	0
2	60	1178	21	23
3	90	1048	63	134
4	120	923	99	264
5	150	814	121	374
6	180	786	125	436
7	210	786	127	458
8	240	824	127	460
9	270	860	128	461
10	300	886	128	465
11	330	930	128	465
12	360	951	128	469
13	390	968	136	471
14	420	860	258	489
15	450	708	393	531
16	480	602	460	590
17	510	571	488	616
18	540	572	497	625
19	570	592	497	611
20	600	608	497	518
21	630	629	497	392
22	660	660	497	279
23	690	693	497	203
24	720	709	497	178
25	750	700	527	177
26	780	616	624	184
27	810	522	705	214
28	840	476	759	225
29	870	473	774	229
30	900	492	776	233
31	930	508	776	222
32	960	521	776	180
33	990	544	776	123
34	1020	563	776	92
35	1050	592	776	81
36	1080	615	778	77
37	1110	590	820	78
38	1140	500	910	88
39	1170	444	967	100
40	1200	417	1000	108
41	1230	424	1009	111
42	1260	440	1010	108
43	1290	456	1010	99
44	1320	473	1010	71
45	1350	492	1010	58
46	1380	510	1010	47
47	1410	525	1010	42
48	1440	536	1014	41
