	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	1	0	1171
2	60	22	11	1177
3	90	137	67	1047
4	120	316	87	872
5	150	406	96	807
6	180	434	99	793
7	210	439	99	818
8	240	440	100	847
9	270	440	100	863
10	300	441	100	894
11	330	442	100	927
12	360	444	100	953
13	390	444	100	996
14	420	445	100	1022
15	450	446	100	1047
16	480	460	169	1005
17	510	506	362	784
18	540	554	435	694
19	570	569	452	671
20	600	471	452	683
21	630	302	453	715
22	660	190	454	741
23	690	160	454	787
24	720	153	454	810
25	750	152	454	838
26	780	154	454	858
27	810	159	454	881
28	840	159	454	896
29	870	162	455	917
30	900	167	533	866
31	930	197	680	710
32	960	233	770	607
33	990	247	783	588
34	1020	209	787	598
35	1050	152	787	610
36	1080	126	787	639
37	1110	118	787	661
38	1140	117	787	678
39	1170	114	787	705
40	1200	114	787	726
41	1230	114	787	747
42	1260	112	787	771
43	1290	111	787	795
44	1320	111	861	743
45	1350	134	1029	571
46	1380	153	1081	511
47	1410	151	1088	514
48	1440	126	1088	531
