	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	0	1175
2	60	13	30	1170
3	90	41	135	1067
4	120	72	258	939
5	150	103	346	859
6	180	113	398	824
7	210	114	410	840
8	240	134	419	836
9	270	193	460	765
10	300	235	514	698
11	330	261	566	643
12	360	273	583	640
13	390	274	589	663
14	420	287	594	667
15	450	343	602	631
16	480	401	620	572
17	510	437	635	535
18	540	451	644	530
19	570	453	623	542
20	600	455	533	560
21	630	509	416	520
22	660	556	323	480
23	690	588	275	446
24	720	605	265	440
25	750	605	261	453
26	780	607	224	467
27	810	626	178	462
28	840	674	120	426
29	870	707	101	406
30	900	713	102	411
31	930	715	101	417
32	960	716	94	427
33	990	732	81	420
34	1020	778	73	376
35	1050	802	72	353
36	1080	812	72	351
37	1110	816	69	367
38	1140	816	67	375
39	1170	826	64	376
40	1200	858	57	353
41	1230	876	53	340
42	1260	894	54	329
43	1290	898	56	340
44	1320	900	54	357
45	1350	906	54	366
46	1380	937	49	348
47	1410	963	48	324
48	1440	978	45	315
