	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1176	2	0
2	60	1170	32	15
3	90	1077	133	38
4	120	938	278	66
5	150	823	390	94
6	180	758	452	120
7	210	709	501	144
8	240	670	537	169
9	270	642	563	185
10	300	626	583	197
11	330	608	594	218
12	360	593	603	240
13	390	590	610	253
14	420	580	618	269
15	450	577	625	283
16	480	569	628	312
17	510	570	635	327
18	540	569	634	344
19	570	569	623	357
20	600	563	541	374
21	630	564	405	386
22	660	574	290	399
23	690	561	225	416
24	720	564	178	437
25	750	574	141	447
26	780	582	112	462
27	810	596	94	466
28	840	603	81	482
29	870	591	74	503
30	900	592	71	513
31	930	602	67	529
32	960	596	62	556
33	990	590	63	576
34	1020	585	64	593
35	1050	592	65	606
36	1080	587	62	629
37	1110	587	52	648
38	1140	593	49	661
39	1170	601	50	670
40	1200	587	49	697
41	1230	580	47	716
42	1260	590	46	726
43	1290	594	47	740
44	1320	592	47	758
45	1350	582	49	786
46	1380	568	47	808
47	1410	566	51	822
48	1440	573	50	835
