	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	1	0	1169
2	60	28	14	1158
3	90	130	49	1043
4	120	249	80	930
5	150	373	112	799
6	180	442	130	735
7	210	505	153	671
8	240	539	165	644
9	270	568	176	618
10	300	585	197	601
11	330	594	211	593
12	360	598	221	603
13	390	607	236	596
14	420	618	253	584
15	450	625	261	595
16	480	629	270	612
17	510	633	288	609
18	540	634	303	612
19	570	618	319	619
20	600	533	337	614
21	630	417	349	623
22	660	294	367	619
23	690	215	385	616
24	720	157	398	620
25	750	118	412	626
26	780	92	434	614
27	810	76	456	609
28	840	68	468	606
29	870	66	490	593
30	900	62	502	597
31	930	50	521	598
32	960	46	529	605
33	990	42	543	612
34	1020	39	558	614
35	1050	42	580	616
36	1080	43	596	615
37	1110	44	608	627
38	1140	46	618	627
39	1170	44	637	623
40	1200	44	654	624
41	1230	49	668	628
42	1260	49	683	631
43	1290	48	704	622
44	1320	49	727	609
45	1350	46	744	610
46	1380	45	770	600
47	1410	49	793	586
48	1440	49	814	584
