	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1187	4
2	60	9	1212	19
3	90	27	1130	129
4	120	51	985	280
5	150	80	856	404
6	180	88	813	466
7	210	88	810	494
8	240	88	835	498
9	270	88	853	500
10	300	92	876	503
11	330	157	826	522
12	360	227	734	575
13	390	294	644	615
14	420	322	598	654
15	450	334	584	673
16	480	338	591	677
17	510	338	611	679
18	540	338	638	677
19	570	361	635	671
20	600	434	577	598
21	630	498	524	460
22	660	537	489	335
23	690	553	483	267
24	720	560	494	237
25	750	562	503	231
26	780	562	523	229
27	810	562	535	229
28	840	584	521	217
29	870	644	472	178
30	900	699	432	134
31	930	729	414	107
32	960	740	407	85
33	990	741	421	83
34	1020	742	434	81
35	1050	742	444	85
36	1080	745	452	86
37	1110	783	431	78
38	1140	840	382	69
39	1170	877	357	59
40	1200	894	352	60
41	1230	898	355	57
42	1260	898	366	55
43	1290	898	377	56
44	1320	898	388	56
45	1350	904	407	55
46	1380	947	369	53
47	1410	976	347	49
48	1440	1005	328	46
