	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	3	1	1166
2	60	28	14	1160
3	90	136	39	1080
4	120	266	66	957
5	150	355	87	895
6	180	439	109	807
7	210	462	113	801
8	240	465	113	819
9	270	470	135	822
10	300	500	202	747
11	330	537	265	658
12	360	564	298	616
13	390	579	311	605
14	420	585	313	621
15	450	586	314	635
16	480	588	330	638
17	510	594	381	603
18	540	602	433	554
19	570	596	459	533
20	600	506	490	512
21	630	394	494	516
22	660	296	494	524
23	690	202	506	527
24	720	176	545	505
25	750	182	581	481
26	780	185	607	464
27	810	167	624	459
28	840	134	629	468
29	870	104	629	473
30	900	86	638	488
31	930	82	666	482
32	960	88	707	447
33	990	90	728	444
34	1020	89	743	440
35	1050	80	750	448
36	1080	68	752	462
37	1110	62	762	466
38	1140	57	800	435
39	1170	58	834	414
40	1200	60	867	395
41	1230	60	884	385
42	1260	53	890	392
43	1290	49	892	408
44	1320	44	894	418
45	1350	44	921	395
46	1380	46	951	378
47	1410	50	969	377
48	1440	52	989	372
