	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.021143591989655285	0.022363190461843815	0.021953445527570562	0.021143591989655285	0.022363190461843815	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.061845867186687	0.15000000000000316	0.2900000000000026	0.7000000000000111	0.5	1.0	0.0	0.0	0.4938488576449912	0.0	0.0	1.0	0.0	0.0
1	30	2431.076487419892	0.0	5.0	14.0	41.05032582044656	526.4708086946341	1904.6056787252555	0.7494751074752548	0.0	0.015882215613876434	0.020148031735197476	0.020576879433329677	0.015882215613876434	0.020148031735197476	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	34.016227883756756	0.15000000000000321	0.290000000000003	0.7000000000000118	0.5	1.0	0.0	0.0	0.49226804123711343	0.0	0.0	0.6190857549206483	0.2706611538858844	0.11025309119346766
2	60	2357.201936493509	0.0	5.0	14.0	67.71713206767096	510.8280578966323	1846.3738785968787	0.7479008323006149	0.0	0.016292746749947556	0.018239294220020397	0.019503899829113994	0.016292746749947556	0.018239294220020397	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.892857503757625	0.1500000000000033	0.2900000000000035	0.7000000000000128	0.5	1.0	0.0	0.0	0.49624060150375937	0.0	0.0	0.7146970504405552	0.20024238422223753	0.08506056533720627
3	90	2304.4900384892267	0.0	5.0	14.0	93.61461139771797	499.9467541878079	1804.5432843014198	0.7458805860921388	0.0	0.021627427570254917	0.016898197886255472	0.020236956783061585	0.021627427570254917	0.016898197886255472	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.87900782889943	0.15000000000000335	0.29000000000000387	0.7000000000000136	0.5	1.0	0.0	0.0	0.4971475142624287	0.0	0.0	0.8482059161236952	0.10624813365511254	0.04554595022119268
4	120	2247.9407323749647	0.0	5.0	14.0	116.6995165360218	488.29853835404	1759.6421940209189	0.7440216938595378	0.0	0.018898620593644413	0.018746036574943545	0.015713636598649536	0.018898620593644413	0.018746036574943545	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.9027534100884	0.1500000000000034	0.29000000000000437	0.7000000000000145	0.5	1.0	0.0	0.0	0.4948535233570863	0.0	0.0	0.9290683010486775	0.04958475791021628	0.02134694104110521
5	150	2187.28285644337	0.0	5.0	14.0	137.34209701373084	475.8424668354196	1711.4403896079489	0.7419462809905666	0.0	0.019876559918951167	0.022896340912141183	0.01665366399506827	0.019876559918951167	0.022896340912141183	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	154.09197358603944	0.1500000000000035	0.2900000000000049	0.7000000000000156	0.5	1.0	0.0	0.0	0.4965675057208238	0.0	0.0	0.9687878198366312	0.021803673402392948	0.00940850676097583
6	180	2148.1951988089418	0.0	5.0	14.0	158.38110235927837	468.07522088914413	1680.119977919799	0.7401769144327391	0.0	0.02063238296661808	0.02031983822653139	0.01660685182898551	0.02063238296661808	0.02031983822653139	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.73024599490122	0.15000000000000355	0.29000000000000536	0.7000000000000165	0.5	1.0	0.0	0.0	0.4985185185185185	0.0	0.0	0.9864918704475432	0.00943441543776734	0.004073714114688764
7	210	2104.2074733466334	0.0	5.0	14.0	176.32473100146373	459.25959264008173	1644.9478807065566	0.7383508288496222	0.0	0.02385532618537826	0.01993496334802009	0.01612265202915511	0.02385532618537826	0.01993496334802009	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.78405511678056	0.15000000000000363	0.29000000000000586	0.7000000000000174	0.5	1.0	0.0	0.0	0.5003589375448672	0.0	0.0	0.9942393268754177	0.004023875231474868	0.001736797893108005
8	240	2076.8349558495675	0.0	5.0	14.0	194.71432095392493	454.04381316922917	1622.7911426803323	0.737012654864932	0.0	0.025506818004663437	0.016072658112221857	0.012767332221210154	0.025506818004663437	0.016072658112221857	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.98299309571726	0.15000000000000369	0.29000000000000625	0.7000000000000182	0.5	1.0	0.0	0.0	0.4989517819706499	0.0	0.0	0.9975250259542833	0.0017282989773920307	0.0007466750683246887
9	270	2070.0564820080776	0.0	5.0	14.0	215.42415077690876	453.28044949747675	1616.7760325106	0.7359298920272657	0.0	0.026004530864132642	0.0167310928443318	0.013581693704837331	0.026004530864132642	0.0167310928443318	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.9024605609623	0.1500000000000037	0.29000000000000653	0.7000000000000187	0.5	1.0	0.0	0.0	0.49828884325804246	0.0	0.0	0.9989347442248635	0.0007440867110868865	0.00032116906405028445
10	300	2039.2615647008067	0.0	5.0	14.0	229.12663545905917	447.17906807040436	1592.0824966304097	0.7350316659976303	0.0	0.029465014594202147	0.017469658999232626	0.012338365947694009	0.029465014594202147	0.017469658999232626	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	303.9362129237368	0.1500000000000038	0.29000000000000703	0.7000000000000196	0.5	1.0	0.0	0.0	0.49801849405548215	0.0	0.0	0.9995459794870788	0.00031710130224733705	0.00013691921067412647
11	330	2007.3979134657898	0.0	5.0	14.0	240.49468312220114	440.85381614231346	1566.54409732348	0.7340067191150675	0.0	0.030726294938062445	0.021358956095248575	0.013210290816311315	0.030726294938062445	0.021358956095248575	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	334.1273927782802	0.15000000000000385	0.29000000000000753	0.7000000000000206	0.5	1.0	0.0	0.0	0.4958625079567155	0.0	0.0	0.9998068612913619	0.00013489337815019017	5.8245330486180484e-05
12	360	1976.850412570773	0.0	5.0	14.0	250.9347301990998	434.79965779854484	1542.0507547722327	0.7328065499086207	0.0	0.02578009103322984	0.01649416124136598	0.009527614451831437	0.02578009103322984	0.01649416124136598	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	363.95833504098346	0.15000000000000394	0.290000000000008	0.7000000000000215	0.5	1.0	0.0	0.0	0.49693627450980393	0.0	0.0	0.999917867663025	5.736460589526601e-05	2.4767731078583642e-05
13	390	1976.1010877409788	0.0	5.0	14.0	266.8855959981428	435.2174467315446	1540.883641009437	0.7322094156470769	0.0	0.02235778035032986	0.01761803646013586	0.009120091269537216	0.02235778035032986	0.01761803646013586	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	393.9082340902401	0.15000000000000396	0.2900000000000083	0.700000000000022	0.5	1.0	0.0	0.0	0.4967124925283921	0.0	0.0	0.9999645564314914	2.47539872332707e-05	1.068958127580885e-05
14	420	1975.1502241069165	0.0	5.0	14.0	282.4747474417014	435.4855560583318	1539.6646680485821	0.7317644961802684	0.0	0.02046718213450131	0.014911416705266266	0.011459909897865923	0.02046718213450131	0.014911416705266266	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	423.8286423227317	0.15000000000000382	0.29000000000000864	0.7000000000000227	0.5	1.0	0.0	0.0	0.4959254947613504	0.0	0.0	0.9999847487101768	1.0653822618401445e-05	4.5974672023615965e-06
15	450	1967.5748648668725	0.0	5.0	14.0	293.80382917173876	434.255651303598	1533.3192135632753	0.731442110110086	0.0	0.018155146062185587	0.019405784256495178	0.01335449685039744	0.018155146062185587	0.019405784256495178	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	453.9383315059849	0.15000000000000308	0.29000000000000886	0.7000000000000234	0.5	1.0	0.0	0.0	0.497456189937818	0.0	0.0	0.9999934487952241	4.5767058307580715e-06	1.9744989457449305e-06
16	480	1974.7393038497992	0.0	5.0	14.0	309.5038149610932	436.1945251604669	1538.544778689343	0.7313566085155476	0.0	0.018613307956276144	0.018367087473406603	0.0126783389433706	0.018613307956276144	0.018367087473406603	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	484.1530200047773	0.15000000000000255	0.290000000000008	0.7000000000000238	0.5	1.0	0.0	0.0	0.496398891966759	0.0	0.0	0.7455803264585509	0.18484326318999178	0.06957641035145792
