	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1180	0	0
2	60	1203	2	0
3	90	1240	2	0
4	120	1274	2	0
5	150	1318	5	0
6	180	1344	5	0
7	210	1380	8	0
8	240	1411	9	0
9	270	1456	11	0
10	300	1486	12	0
11	330	1526	12	0
12	360	1562	14	0
13	390	1614	15	0
14	420	1664	17	0
15	450	1714	20	0
16	480	1757	23	0
17	510	1814	23	0
18	540	1866	23	0
19	570	1920	33	0
20	600	1969	34	0
21	630	2021	37	0
22	660	2079	38	0
23	690	2120	41	0
24	720	2177	39	0
25	750	2232	43	0
26	780	2281	47	0
27	810	2331	50	0
28	840	2385	56	0
29	870	2438	63	0
30	900	2490	70	0
31	930	2550	72	0
32	960	2596	76	0
33	990	2668	73	0
34	1020	2730	75	0
35	1050	2818	77	0
36	1080	2893	70	0
37	1110	2981	70	0
38	1140	3048	79	0
39	1170	3128	80	0
40	1200	3195	78	0
41	1230	3288	83	0
42	1260	3363	83	0
43	1290	3429	81	0
44	1320	3507	86	0
45	1350	3567	86	0
46	1380	3656	83	0
47	1410	3732	80	0
48	1440	3818	84	0
