	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	3	1160
2	60	3	5	1194
3	90	20	53	1158
4	120	37	117	1117
5	150	37	140	1124
6	180	37	146	1141
7	210	41	150	1160
8	240	93	168	1130
9	270	137	211	1075
10	300	151	236	1069
11	330	153	240	1096
12	360	154	245	1141
13	390	174	257	1152
14	420	209	280	1137
15	450	221	306	1142
16	480	223	311	1150
17	510	223	312	1183
18	540	235	314	1201
19	570	267	332	1182
20	600	284	316	1190
21	630	286	252	1213
22	660	286	223	1240
23	690	288	222	1261
24	720	313	227	1265
25	750	331	237	1259
26	780	336	206	1278
27	810	336	182	1306
28	840	337	180	1345
29	870	355	179	1374
30	900	388	182	1367
31	930	403	179	1362
32	960	404	155	1401
33	990	404	147	1460
34	1020	412	153	1499
35	1050	449	159	1501
36	1080	464	162	1511
37	1110	468	147	1544
38	1140	470	140	1596
39	1170	470	138	1640
40	1200	507	143	1645
41	1230	535	151	1644
42	1260	539	139	1684
43	1290	541	129	1722
44	1320	541	127	1778
45	1350	565	129	1799
46	1380	598	151	1790
47	1410	605	145	1841
48	1440	605	133	1885
