	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1175	2
2	60	12	1175	33
3	90	48	1086	124
4	120	79	978	254
5	150	98	892	351
6	180	116	833	424
7	210	116	835	452
8	240	117	859	457
9	270	117	881	458
10	300	120	914	459
11	330	176	882	468
12	360	270	779	507
13	390	321	702	555
14	420	358	656	593
15	450	369	650	611
16	480	372	662	617
17	510	372	686	619
18	540	372	717	618
19	570	375	733	596
20	600	424	706	523
21	630	494	645	418
22	660	539	606	325
23	690	575	569	258
24	720	583	577	225
25	750	583	597	220
26	780	583	611	220
27	810	583	629	219
28	840	589	642	213
29	870	647	599	186
30	900	703	553	148
31	930	755	515	117
32	960	776	503	102
33	990	784	503	98
34	1020	785	524	97
35	1050	785	547	97
36	1080	785	571	98
37	1110	797	581	92
38	1140	857	539	82
39	1170	905	506	74
40	1200	937	494	67
41	1230	961	476	65
42	1260	967	481	65
43	1290	968	499	68
44	1320	968	510	68
45	1350	968	536	68
46	1380	989	527	66
47	1410	1052	478	58
48	1440	1092	446	56
