	time	tnf
0	0	0.0
1	30	2023.8318411162445
2	60	885.8016711126485
3	90	387.22013532074504
4	120	169.07688617580936
5	150	2915.1137692611587
6	180	1867.1857815666667
7	210	817.4522416705425
8	240	357.5898001227278
9	270	156.27862930040604
10	300	3115.344063774225
11	330	1720.6221761501458
12	360	753.3444763759207
13	390	329.6280316124249
14	420	144.1124254818459
15	450	3239.908410914795
16	480	1585.1779856718124
17	510	694.0533027148432
18	540	303.6963060804923
19	570	132.7888265042173
20	600	3327.366181308946
21	630	1459.5690134100485
22	660	639.0441722847173
23	690	279.6240409053387
24	720	122.27440169134357
25	750	3068.1159484623595
26	780	1343.9224527199935
27	810	588.3780948394226
28	840	257.4490320888145
29	870	112.57670873787647
30	900	2825.0939714713786
31	930	1237.3966277518869
32	960	541.711401392653
33	990	237.02319206623613
34	1020	103.63960001305747
35	1050	2601.2887487191315
36	1080	1139.2574225496921
37	1110	498.7038122461178
38	1140	218.18059773169767
39	1170	95.38986319877627
40	1200	2395.1927734745796
41	1230	1048.919144619261
42	1260	459.12338169500794
43	1290	200.84529639264508
44	1320	87.80421822065993
45	1350	2205.4076536072257
46	1380	965.7440555168475
47	1410	422.679953048824
48	1440	184.8892782886697
